"otu","variable","value"
"Otu000196","run_1",2.68398808001458
"Otu000393","run_1",1.94741672511237
"Otu000486","run_1",2.17787631422868
"Otu000001","run_1",1.83359741592542
"Otu000144","run_1",2.6534338705234
"Otu000009","run_1",2.26079358022228
"Otu000240","run_1",2.16333618086604
"Otu000043","run_1",1.74898527832255
"Otu000375","run_1",2.03638015423699
"Otu000030","run_1",1.96101058236587
"Otu000196","run_2",2.7876926212239
"Otu000393","run_2",2.36953263098638
"Otu000486","run_2",2.16243017495102
"Otu000001","run_2",2.4017588154338
"Otu000144","run_2",1.97366818532788
"Otu000009","run_2",2.01440350240465
"Otu000240","run_2",1.83402060453309
"Otu000043","run_2",1.6656901152069
"Otu000375","run_2",2.20180839602683
"Otu000030","run_2",1.78072222663283
"Otu000196","run_3",2.75419970695252
"Otu000393","run_3",2.2529862587233
"Otu000486","run_3",1.62473424052302
"Otu000001","run_3",2.51155489137015
"Otu000144","run_3",2.2693639574389
"Otu000009","run_3",1.83528671758571
"Otu000240","run_3",2.10473109569501
"Otu000043","run_3",1.84114692418654
"Otu000375","run_3",2.13968706965617
"Otu000030","run_3",2.14564247120201
"Otu000196","run_4",2.73780071473346
"Otu000393","run_4",2.04840503063261
"Otu000486","run_4",1.86448140083255
"Otu000001","run_4",2.64869778677935
"Otu000144","run_4",2.11321324798692
"Otu000009","run_4",2.77156305884826
"Otu000240","run_4",1.71894388368164
"Otu000043","run_4",2.02206514458454
"Otu000375","run_4",1.85745910381281
"Otu000030","run_4",1.7278251735624
"Otu000196","run_5",2.96939750236024
"Otu000393","run_5",2.74456459671134
"Otu000486","run_5",2.01087163713814
"Otu000001","run_5",2.25153318452529
"Otu000144","run_5",2.23808562083048
"Otu000009","run_5",2.31673433804981
"Otu000240","run_5",2.03474782020001
"Otu000043","run_5",1.87883624066158
"Otu000375","run_5",1.59818745398408
"Otu000030","run_5",1.51340524190267
"Otu000196","run_6",3.7308403371579
"Otu000393","run_6",2.38219116898541
"Otu000486","run_6",2.76731144428751
"Otu000001","run_6",2.3252336168882
"Otu000144","run_6",2.45582933332775
"Otu000009","run_6",2.10071816140659
"Otu000240","run_6",1.80528248793553
"Otu000043","run_6",1.37671457063336
"Otu000375","run_6",1.35140096072293
"Otu000030","run_6",1.15038700956391
"Otu000196","run_7",3.06435524047011
"Otu000393","run_7",2.16537580427947
"Otu000486","run_7",1.81360297244503
"Otu000001","run_7",2.4715634280626
"Otu000144","run_7",2.77550339033817
"Otu000009","run_7",2.23973479326472
"Otu000240","run_7",1.97861853470425
"Otu000043","run_7",1.74803405499996
"Otu000375","run_7",1.59997212264685
"Otu000030","run_7",1.63505784060703
"Otu000196","run_8",2.74794398615421
"Otu000393","run_8",2.39915506838221
"Otu000486","run_8",1.71552593645286
"Otu000001","run_8",2.56895335779002
"Otu000144","run_8",2.13814370468579
"Otu000009","run_8",1.99334320050746
"Otu000240","run_8",1.91775111698914
"Otu000043","run_8",2.12129060792859
"Otu000375","run_8",1.77833544461729
"Otu000030","run_8",1.96061818255303
"Otu000196","run_9",3.67960555253565
"Otu000393","run_9",2.54000647916482
"Otu000486","run_9",2.62040626882114
"Otu000001","run_9",1.90443198911753
"Otu000144","run_9",1.86150237703709
"Otu000009","run_9",2.05024649812543
"Otu000240","run_9",2.15086515546704
"Otu000043","run_9",1.52125850937649
"Otu000375","run_9",1.7086439267243
"Otu000030","run_9",1.36666960726687
"Otu000196","run_10",2.9901227065541
"Otu000393","run_10",2.14808666371005
"Otu000486","run_10",2.29971685494297
"Otu000001","run_10",2.44609294863605
"Otu000144","run_10",2.31806879261349
"Otu000009","run_10",1.75446911054178
