"Variable","total_appearance"
"Otu000012",100
"Otu000006",100
"Otu000015",100
"Otu000004",100
"Otu000061",100
"Otu000005",100
"Otu000018",100
"Otu000013",99
"Otu000146",99
"Otu000009",98
"Otu000044",97
"Otu000040",97
"Otu000002",96
"Otu000014",96
"Otu000025",96
"Otu000605",95
"Otu000037",95
"Otu000010",95
"Otu000180",95
"Otu000155",94
"Otu000393",94
"Otu000058",92
"Otu000088",90
"Otu000041",90
"Otu000001",89
"Otu000148",88
"Otu000028",85
"Otu000290",85
"Otu000251",84
"Otu000084",83
"Otu000007",83
"Otu000109",81
"Otu000043",81
"Otu000008",81
"Otu000003",80
"Otu000020",80
"Otu000229",78
"Otu001606",77
"Otu000059",77
"Otu000016",74
"Otu000108",71
"Otu000048",67
"Otu000173",67
"Otu000345",62
"Otu000087",62
"Otu001307",61
"Otu000085",61
"Otu000530",57
"Otu000042",57
"Otu000083",57
"Otu000911",56
"Otu000036",56
"Otu000404",55
"Otu000634",55
"Otu000315",55
"Otu000660",54
"Otu000027",54
"Otu000047",53
"Otu000026",52
"Otu000030",52
"Otu000144",51
"Otu000130",51
