"otu","variable","value"
"Otu000012","run_1",2.16861742743788
"Otu000044","run_1",2.17227054380535
"Otu000006","run_1",1.99022259803546
"Otu000043","run_1",1.86996089924494
"Otu000013","run_1",1.89941629955976
"Otu000146","run_1",1.76813849255866
"Otu000005","run_1",1.86974245345215
"Otu000037","run_1",2.11375803009458
"Otu000015","run_1",1.68408484089841
"Otu000014","run_1",1.79255616476645
"Otu000001","run_1",1.73644400677064
"Otu000058","run_1",1.88281550292373
"Otu000004","run_1",1.80625524296368
"Otu000007","run_1",1.57490722085148
"Otu000059","run_1",2.04972661653005
"Otu000003","run_1",1.56673118089109
"Otu000041","run_1",1.80526951112694
"Otu000016","run_1",1.69011370407107
"Otu000640","run_1",1.51216580347883
"Otu000018","run_1",1.54823576937153
"Otu000009","run_1",1.63871066390155
"Otu000180","run_1",1.5882084477692
"Otu000040","run_1",1.58606069060398
"Otu000088","run_1",1.81525826047626
"Otu000047","run_1",1.55206742533533
"Otu000002","run_1",1.54817032154157
"Otu000061","run_1",1.65080332616093
"Otu000008","run_1",1.41470094918457
"Otu000010","run_1",1.61992944684416
"Otu000020","run_1",1.47176533918053
"Otu000036","run_1",1.69432916235557
"Otu000108","run_1",1.49437186385279
"Otu000027","run_1",1.56944882642803
"Otu000026","run_1",1.44686468714041
"Otu000109","run_1",1.48015346459722
"Otu000065","run_1",1.44171748112633
"Otu000028","run_1",1.58109823501109
"Otu000155","run_1",1.29801768853275
"Otu000092","run_1",1.53825739178239
"Otu001606","run_1",1.41331772917209
"Otu000085","run_1",1.33395353254286
"Otu000048","run_1",1.3708927963667
"Otu000025","run_1",1.37845679540211
"Otu000290","run_1",1.61751638442973
"Otu000177","run_1",1.4987490505089
"Otu000605","run_1",1.59185299501544
"Otu000030","run_1",1.42500366926689
"Otu000194","run_1",1.20427920846731
"Otu000173","run_1",1.21316648979254
"Otu000476","run_1",1.35253217104498
"Otu000831","run_1",1.3165683435737
"Otu000346","run_1",1.15716256621071
"Otu000229","run_1",1.11536116706288
"Otu000251","run_1",1.19288050558086
"Otu000340","run_1",1.22041901827723
"Otu000572","run_1",1.08110535204037
"Otu000911","run_1",0.947165729913992
"Otu000570","run_1",1.18475271901117
"Otu000660","run_1",0.911350019335124
"Otu000446","run_1",1.42755232518778
"Otu001307","run_1",0.946717529061502
"Otu000012","run_2",2.34973349087232
"Otu000044","run_2",2.07442301947785
"Otu000006","run_2",1.85871820159778
"Otu000043","run_2",1.84536592050864
"Otu000013","run_2",1.78205142132428
"Otu000146","run_2",1.87342329004406
"Otu000005","run_2",1.98397597154177
"Otu000037","run_2",1.80224793664326
"Otu000015","run_2",1.99486070852001
"Otu000014","run_2",1.63682010978075
"Otu000001","run_2",1.74759203568522
"Otu000058","run_2",1.65607226743758
"Otu000004","run_2",1.74836820510278
"Otu000007","run_2",1.78242789853306
"Otu000059","run_2",1.65821192651902
"Otu000003","run_2",1.78262352539793
"Otu000041","run_2",1.63805675177481
"Otu000016","run_2",1.71264247001834
"Otu000640","run_2",1.42412210368008
"Otu000018","run_2",1.48112190422113
"Otu000009","run_2",1.73024288144985
"Otu000180","run_2",1.55483343563078
"Otu000040","run_2",1.68113435984901
"Otu000088","run_2",1.57715969172708
"Otu000047","run_2",1.75169367521243
"Otu000002","run_2",1.48059356688974
"Otu000061","run_2",1.51181359313003
"Otu000008","run_2",1.69695530032362
"Otu000010","run_2",1.44671291865687
"Otu000020","run_2",1.48333756009193
"Otu000036","run_2",1.61240564951403
"Otu000108","run_2",1.4969093200049
"Otu000027","run_2",1.64672577767343
"Otu000026","run_2",1.51010977996127
"Otu000109","run_2",1.48516132905551
"Otu000065","run_2",1.45280285990834
"Otu000028","run_2",1.73006946559651
"Otu000155","run_2",1.42529000272262
"Otu000092","run_2",1.43587968897006
"Otu001606","run_2",1.32205390354128
"Otu000085","run_2",1.48022451639749
"Otu000048","run_2",1.33114107523727
"Otu000025","run_2",1.64922991496448
"Otu000290","run_2",1.55232285829901
"Otu000177","run_2",1.58220157057694
"Otu000605","run_2",1.68257506589115
"Otu000030","run_2",1.39070828381387
"Otu000194","run_2",1.33528040255113
"Otu000173","run_2",1.48497409098824
"Otu000476","run_2",1.23012045324345
"Otu000831","run_2",1.00186390111034
"Otu000346","run_2",1.3132749550126
"Otu000229","run_2",1.3171523021463
"Otu000251","run_2",1.1881836916397
"Otu000340","run_2",1.0927052140743
"Otu000572","run_2",1.30266804379019
"Otu000911","run_2",0.968555973620773
"Otu000570","run_2",1.05837941610989
"Otu000660","run_2",1.19844001995856
"Otu000446","run_2",1.25695438391345
"Otu001307","run_2",0.67100054330909
"Otu000012","run_3",2.30303356402476
"Otu000044","run_3",2.1562393852229
"Otu000006","run_3",2.27567280527978
"Otu000043","run_3",1.8339239678347
"Otu000013","run_3",1.89447185970548
"Otu000146","run_3",1.65156478170368
"Otu000005","run_3",1.93951755052705
"Otu000037","run_3",1.59712936852008
"Otu000015","run_3",1.799664984932
"Otu000014","run_3",1.66896133054156
"Otu000001","run_3",1.69988579258282
"Otu000058","run_3",1.85925684964889
"Otu000004","run_3",1.6099870884542
"Otu000007","run_3",1.62391688889627
"Otu000059","run_3",1.70061482227295
"Otu000003","run_3",1.67289892081822
"Otu000041","run_3",1.6254297420688
"Otu000016","run_3",1.49091289049194
"Otu000640","run_3",1.62042931215649
"Otu000018","run_3",1.74144574822465
"Otu000009","run_3",1.73410777122362
"Otu000180","run_3",1.62302673103328
"Otu000040","run_3",1.67679105979235
"Otu000088","run_3",1.66484803353236
"Otu000047","run_3",1.51906331572083
"Otu000002","run_3",1.38265190926142
"Otu000061","run_3",1.80738626252039
"Otu000008","run_3",1.64825431358805
"Otu000010","run_3",1.60681722633961
"Otu000020","run_3",1.50235757664356
"Otu000036","run_3",1.46284704590653
"Otu000108","run_3",1.42097000318283
"Otu000027","run_3",1.51241266718078
"Otu000026","run_3",1.60707417751645
"Otu000109","run_3",1.58596593585036
"Otu000065","run_3",1.43450534935736
"Otu000028","run_3",1.5342710192627
"Otu000155","run_3",1.40016201785534
"Otu000092","run_3",1.73952670640432
"Otu001606","run_3",1.27128827655703
"Otu000085","run_3",1.51798500228102
"Otu000048","run_3",1.49036033061575
"Otu000025","run_3",1.39713542058056
"Otu000290","run_3",1.4815057251635
"Otu000177","run_3",1.37755048393887
"Otu000605","run_3",1.49069389875027
"Otu000030","run_3",1.23693777723773
"Otu000194","run_3",1.26524813673274
"Otu000173","run_3",1.4658431144027
"Otu000476","run_3",1.45804115564016
"Otu000831","run_3",1.13616158431758
"Otu000346","run_3",1.41292592865692
"Otu000229","run_3",0.959337362353799
"Otu000251","run_3",1.30368799598096
"Otu000340","run_3",1.43091323698017
"Otu000572","run_3",1.02375072194061
"Otu000911","run_3",1.18003588222836
"Otu000570","run_3",1.23897361717079
"Otu000660","run_3",1.24470242088146
"Otu000446","run_3",0.928788928122775
"Otu001307","run_3",0.851662327348409
"Otu000012","run_4",2.16658815131143
"Otu000044","run_4",2.01405422759291
"Otu000006","run_4",1.97743816447821
"Otu000043","run_4",2.19313900543491
"Otu000013","run_4",1.89026810727006
"Otu000146","run_4",1.63139464640289
"Otu000005","run_4",1.80524220388282
"Otu000037","run_4",1.87041407007575
"Otu000015","run_4",1.90888746979757
"Otu000014","run_4",1.76930699855938
"Otu000001","run_4",1.60323877126328
"Otu000058","run_4",1.81762211289017
"Otu000004","run_4",1.74031891271521
"Otu000007","run_4",1.62073040973196
"Otu000059","run_4",1.6715445689908
"Otu000003","run_4",1.58340479903653
"Otu000041","run_4",1.59527119914416
"Otu000016","run_4",1.80822588760529
"Otu000640","run_4",1.53282945835788
"Otu000018","run_4",1.62862517514439
"Otu000009","run_4",1.61430385822086
"Otu000180","run_4",1.64783692400879
"Otu000040","run_4",1.60752551805249
"Otu000088","run_4",1.50056757964104
"Otu000047","run_4",1.55594516609702
"Otu000002","run_4",1.7023980274664
"Otu000061","run_4",1.66790772966829
"Otu000008","run_4",1.64392668725619
"Otu000010","run_4",1.42530520962294
"Otu000020","run_4",1.55411061482825
"Otu000036","run_4",1.59324310681264
"Otu000108","run_4",1.47340730004821
"Otu000027","run_4",1.37213978225046
"Otu000026","run_4",1.69978000952492
"Otu000109","run_4",1.50161091983465
"Otu000065","run_4",1.51696714932868
"Otu000028","run_4",1.47811895065758
"Otu000155","run_4",1.43696105490317
"Otu000092","run_4",1.47279580147927
"Otu001606","run_4",1.61109505598147
