"mean_MDA","sd_MDA","variable","tax_id"
3.52370204055502,0.800269535597468,"Otu000640","Lachnospiraceae_unclassified"
2.34137232814226,0.310635720317056,"Otu000180","Clostridiales_unclassified"
2.28177122668145,0.477781930355228,"Otu000088","Ruminococcus"
2.02930422887534,0.251590266502507,"Otu000108","Roseburia"
1.80776088092789,0.34071009766079,"Otu000001","Bacteroides"
1.55830275232267,0.254637085188491,"Otu000021","Parabacteroides"
1.39798546446923,0.391595604055492,"Otu000006","Bacteroides"
1.27255007933309,0.271179889617675,"Otu000167","Ruminococcus"
1.26406263962284,0.301771737905401,"Otu000206","Lachnospiraceae_unclassified"
1.00371293236242,0.194586267769927,"Otu000732","Ruminococcaceae_unclassified"
