"Pvalue_surg","bh_surg","lowest_ID","otu"
0.186496130828986,0.660078090841513,"Clostridiales","Otu000037"
0.422947086210435,0.733108282764753,"Bacteroides","Otu001307"
0.276321140173741,0.660078090841513,"Lachnospiraceae","Otu000001"
0.531917677114726,0.813521153234287,"Anaerostipes","Otu000061"
0.935748197154223,0.935748197154223,"Ruminococcaceae","Otu000006"
0.639635086965752,0.822486694200052,"Bacteroides","Otu000085"
0.668878848601509,0.822486694200052,"Blautia","Otu000026"
0.355426664299276,0.660078090841513,"Blautia","Otu000010"
0.59402317645918,0.822486694200052,"Anaerostipes","Otu000005"
0.759218486953894,0.822486694200052,"Clostridiales","Otu000015"
0.248192774236722,0.660078090841513,"Blautia","Otu000004"
0.338603519091324,0.660078090841513,"Streptococcus","Otu000041"
0.338603519091324,0.660078090841513,"Roseburia","Otu000013"
0.46660769122447,0.758237498239763,"Lachnospiraceae","Otu000002"
0.000726543956929821,0.0188901428801753,"Clostridium_XI","Otu000003"
0.754598622576173,0.822486694200052,"Bacteroides","Otu000058"
0.0465193010304639,0.582676824676371,"Ruminococcus","Otu000059"
0.1978691707001,0.660078090841513,"Clostridium_IV","Otu000014"
0.355426664299276,0.660078090841513,"Blautia","Otu000016"
0.861132217295629,0.895577505987455,"Faecalibacterium","Otu000605"
0.23487539724042,0.660078090841513,"Bacteroides","Otu000012"
0.729548698172006,0.822486694200052,"Dorea","Otu000290"
0.680898231534878,0.822486694200052,"Coprobacillus","Otu000028"
0.0672319413088121,0.582676824676371,"Dorea","Otu000036"
0.276321140173741,0.660078090841513,"Lachnospiraceae","Otu000009"
0.111757070995914,0.660078090841513,"Collinsella","Otu000020"
