"otu","median_IQR","median_MDA","rank"
"Otu000015",0.298874102412596,3.0419683544899,1
"Otu000012",0.192805925562394,2.69658893350983,2
"Otu000006",0.260114279112098,2.64041252873504,3
"Otu000004",0.17799497010934,2.61693634235548,4
"Otu000005",0.177742835782823,2.55939701779192,5
"Otu000018",0.180791756169035,2.47986291334087,6
"Otu000009",0.141670996716083,2.47541190516343,7
"Otu000061",0.269346224410508,2.46540389679777,8
"Otu000013",0.182892531482123,2.46008199269677,9
"Otu000014",0.175598179675663,2.4427765049569,10
"Otu000040",0.163552672864328,2.40051548817533,11
"Otu000037",0.208047805516009,2.38090748286987,12
"Otu000003",0.132670886212253,2.37453979129289,13
"Otu000058",0.209965974269442,2.34942510002003,14
"Otu000010",0.112536602757112,2.34345972701704,15
"Otu000044",0.227169719498589,2.34211065959107,16
"Otu000001",0.1180898345422,2.34054640058382,17
"Otu000043",0.15560710783229,2.33839094024544,18
"Otu000020",0.134017598317728,2.33680555774713,19
"Otu000007",0.138711325578137,2.32062338572299,20
"Otu000146",0.243137438147705,2.30020044604643,21
"Otu000180",0.164896765989625,2.2527884917915,22
"Otu000059",0.119351183800694,2.24963826451578,23
"Otu000016",0.116600780491918,2.23403837449835,24
"Otu000002",0.225105324327602,2.23095029349594,25
"Otu000041",0.0892607822919476,2.22070713153204,26
"Otu000155",0.247609012370662,2.21038430067336,27
"Otu000084",0.108963119645951,2.20058591420014,28
"Otu000148",0.178395928594049,2.17837555383614,29
"Otu000109",0.13486150203325,2.14770244058888,30
"Otu000088",0.160132379286036,2.14196298120496,31
"Otu000047",0.143134391791204,2.11163979950638,32
"Otu000025",0.170789462649647,2.10375748514367,33
"Otu000008",0.189815798555166,2.10159949670405,34
"Otu000085",0.128427638934155,2.09383376968423,35
"Otu000290",0.236321482567674,2.08419359003027,36
"Otu001606",0.217721020288064,2.08037449461422,37
"Otu000048",0.195879063646747,2.06663385726799,38
"Otu000036",0.113839585806328,2.05814604369222,39
"Otu000108",0.167036230709862,2.05312724163312,40
"Otu000026",0.113058705709745,2.03079920401499,41
"Otu000083",0.182643385328519,2.02159174912595,42
"Otu000173",0.15081928254365,2.01405015182798,43
"Otu000027",0.114924611186204,2.01107027431669,44
"Otu000393",0.243774274981361,1.99719823726871,45
"Otu000028",0.176450869406713,1.99670463430711,46
"Otu000605",0.268945370814596,1.98299013541455,47
"Otu000030",0.140168222269518,1.96948601743539,48
"Otu000144",0.164767033966264,1.92872530826051,49
"Otu000530",0.190124998383993,1.86312794856851,50
"Otu000404",0.246655068151766,1.76678357087034,51
"Otu000042",0.222345446041452,1.72742440353639,52
"Otu000251",0.306740920793044,1.70586549283593,53
"Otu000315",0.202536638328042,1.6858499458595,54
"Otu000130",0.24281198000088,1.68557253229823,55
"Otu000345",0.190444885999279,1.61518899616042,56
"Otu000634",0.239492550712211,1.49365533442457,57
"Otu000087",0.260143014270903,1.45236388104843,58
"Otu000229",0.308480433568018,1.36830866408751,59
"Otu000911",0.189723522443553,1.20779676586233,60
"Otu000660",0.249528504466449,1.10071060200644,61
"Otu001307",0.198918299296388,1.03055493040412,62
