"otu","median_IQR","median_MDA","tax_id","rank"
"Otu000120",0.594007464549583,3.84164410042751,"Ruminococcus2",1
"Otu000586",0.558780320718808,3.57851196455297,"Clostridium_XlVb",2
"Otu000009",0.535407162068959,2.87306287175577,"Blautia",3
"Otu000065",0.397570566684616,2.39244394675483,"Coprococcus",4
"Otu000358",0.333845520919859,2.29945399493564,"Lachnospiraceae_unclassified",5
"Otu001302",0.434572241350961,2.24888294706459,"Eubacterium",6
"Otu000320",0.319543966743568,2.1380895414657,"Lachnospiraceae_unclassified",7
"Otu001036",0.313765693148,2.0985836112407,"Lachnospiraceae_unclassified",8
"Otu000740",0.332170205712617,2.07815402395445,"Alistipes",9
"Otu001944",0.343689970022657,1.42960790820774,"Erysipelotrichaceae_unclassified",10
