"otu","variable","value"
"Otu000278","run_1",2.83347330331629
"Otu000002","run_1",2.32311543903588
"Otu000042","run_1",1.88350890525716
"Otu000180","run_1",2.04883001494289
"Otu000101","run_1",2.181411571021
"Otu000063","run_1",2.07859132259759
"Otu000194","run_1",2.30616405373351
"Otu000199","run_1",2.10412390278763
"Otu000059","run_1",2.37960828228013
"Otu000070","run_1",1.28177926563398
"Otu000278","run_2",2.26554955391752
"Otu000002","run_2",2.77380809257303
"Otu000042","run_2",2.18531679606374
"Otu000180","run_2",2.30136384348223
"Otu000101","run_2",2.03179321457013
"Otu000063","run_2",2.09402869160107
"Otu000194","run_2",1.94497429906204
"Otu000199","run_2",1.58579153210865
"Otu000059","run_2",1.99548270012166
"Otu000070","run_2",2.19752764013628
"Otu000278","run_3",3.22196616340867
"Otu000002","run_3",2.65638587060518
"Otu000042","run_3",1.9320212867306
"Otu000180","run_3",2.70090815249917
"Otu000101","run_3",1.83197317575503
"Otu000063","run_3",2.08890595755976
"Otu000194","run_3",2.37794401258589
"Otu000199","run_3",2.25001867157355
"Otu000059","run_3",1.42510610876757
"Otu000070","run_3",1.00158878233276
"Otu000278","run_4",2.64335879777229
"Otu000002","run_4",2.46844338189311
"Otu000042","run_4",2.20174511052618
"Otu000180","run_4",2.42717762555262
"Otu000101","run_4",1.77283650241186
"Otu000063","run_4",2.25949816083326
"Otu000194","run_4",2.18746270204733
"Otu000199","run_4",1.7748437104957
"Otu000059","run_4",1.89564117780517
"Otu000070","run_4",1.75697262864227
"Otu000278","run_5",2.4615104122736
"Otu000002","run_5",2.46797019949633
"Otu000042","run_5",2.58244184241527
"Otu000180","run_5",2.13932113460554
"Otu000101","run_5",2.10470734927684
"Otu000063","run_5",2.36824655145708
"Otu000194","run_5",1.99826675276793
"Otu000199","run_5",1.53462149355169
"Otu000059","run_5",1.73714057183799
"Otu000070","run_5",1.95441005595409
"Otu000278","run_6",2.97206099199172
"Otu000002","run_6",2.50249390273986
"Otu000042","run_6",2.00835634314789
"Otu000180","run_6",1.6759535960978
"Otu000101","run_6",2.25398761514684
"Otu000063","run_6",1.66740370473497
"Otu000194","run_6",1.71309316539526
"Otu000199","run_6",2.40890736828123
"Otu000059","run_6",2.26723629782311
"Otu000070","run_6",1.87850052113483
"Otu000278","run_7",2.26905052498341
"Otu000002","run_7",2.28056683471666
"Otu000042","run_7",2.35583854050182
"Otu000180","run_7",2.45898402517082
"Otu000101","run_7",1.96525275343491
"Otu000063","run_7",1.94941804747212
"Otu000194","run_7",2.36184731984203
"Otu000199","run_7",1.73148194113713
"Otu000059","run_7",1.87905268374276
"Otu000070","run_7",2.10811338960441
"Otu000278","run_8",3.32244313714646
"Otu000002","run_8",2.36113493423727
"Otu000042","run_8",3.04259509005484
"Otu000180","run_8",1.94110912345443
"Otu000101","run_8",2.36775732129496
"Otu000063","run_8",1.88669913192792
"Otu000194","run_8",1.91354168585404
"Otu000199","run_8",2.24463940933549
"Otu000059","run_8",1.39595170406898
"Otu000070","run_8",0.877764826261966
"Otu000278","run_9",2.51917311005604
"Otu000002","run_9",2.08655454901066
"Otu000042","run_9",2.55400210167223
"Otu000180","run_9",2.05911141245728
"Otu000101","run_9",2.31217145901901
"Otu000063","run_9",1.80873047783107
"Otu000194","run_9",2.0704914241153
"Otu000199","run_9",1.89348641719305
"Otu000059","run_9",1.88337230374682
"Otu000070","run_9",2.24548250247429
"Otu000278","run_10",2.48481037735957
"Otu000002","run_10",2.1815800576535
"Otu000042","run_10",2.48812025290832
"Otu000180","run_10",2.30287864234519
"Otu000101","run_10",2.03898879892419
"Otu000063","run_10",2.29083097619701
"Otu000194","run_10",1.86767931515537
"Otu000199","run_10",2.25597603134317
"Otu000059","run_10",1.84191607497351
"Otu000070","run_10",1.65985583677653
"Otu000278","run_11",3.49358084339533
"Otu000002","run_11",2.70150005340871
"Otu000042","run_11",2.67658877440211
"Otu000180","run_11",1.92264915581143
"Otu000101","run_11",2.67336571975801
"Otu000063","run_11",1.59554599955943
"Otu000194","run_11",1.75125723037313
"Otu000199","run_11",1.77357363039472
"Otu000059","run_11",1.61044239731968
"Otu000070","run_11",1.41649619557746
"Otu000278","run_12",2.36904964852321
"Otu000002","run_12",2.29900987220791
"Otu000042","run_12",2.26418417988233
"Otu000180","run_12",2.17409355495697
"Otu000101","run_12",2.43937086215809
"Otu000063","run_12",1.99403086840025
"Otu000194","run_12",2.05049619884274
"Otu000199","run_12",1.78248629619057
"Otu000059","run_12",1.87000909419473
"Otu000070","run_12",1.97960275797654
"Otu000278","run_13",2.59050741920281
"Otu000002","run_13",2.42902108010699
"Otu000042","run_13",2.43029977381513
"Otu000180","run_13",2.06495876875008
"Otu000101","run_13",2.01846894275295
"Otu000063","run_13",2.15879184509257
"Otu000194","run_13",1.86351397902674
"Otu000199","run_13",1.76511367421998
"Otu000059","run_13",1.96962248373607
"Otu000070","run_13",2.03076263935729
"Otu000278","run_14",2.62395484957187
"Otu000002","run_14",2.07203071990043
"Otu000042","run_14",2.33243870237092
"Otu000180","run_14",2.92405329687588
"Otu000101","run_14",2.04578626930382
"Otu000063","run_14",2.18970561872063
"Otu000194","run_14",1.87248735731269
"Otu000199","run_14",1.71274529383827
"Otu000059","run_14",1.94045836257538
"Otu000070","run_14",1.76770316589375
"Otu000278","run_15",2.91218558994044
"Otu000002","run_15",1.97913184571749
"Otu000042","run_15",2.77964185185702
"Otu000180","run_15",1.69467619902514
"Otu000101","run_15",2.01178423261538
"Otu000063","run_15",2.29791532010818
"Otu000194","run_15",1.99639872077955
"Otu000199","run_15",2.1839048367722
"Otu000059","run_15",2.14846099407152
"Otu000070","run_15",1.49741556062823
"Otu000278","run_16",2.97243810676503
"Otu000002","run_16",2.44053271602608
"Otu000042","run_16",2.4211553429436
"Otu000180","run_16",2.5900401215124
"Otu000101","run_16",2.03850935049593
"Otu000063","run_16",1.89545483875574
"Otu000194","run_16",1.61378463110502
"Otu000199","run_16",1.38752197296914
"Otu000059","run_16",2.06944453409974
"Otu000070","run_16",2.03321795242688
"Otu000278","run_17",2.81855311467123
