"Variable","total_appearance"
"Otu000001",84
"Otu000013",84
"Otu000037",82
"Otu000003",82
"Otu000010",81
"Otu000083",81
"Otu000041",80
"Otu000009",79
"Otu000018",78
"Otu000006",78
"Otu000020",78
"Otu000040",78
"Otu000015",76
"Otu000008",75
"Otu000019",75
"Otu000023",74
"Otu000074",73
"Otu000004",73
"Otu000043",73
"Otu000173",70
"Otu000007",69
"Otu000122",67
"Otu000025",66
"Otu000016",66
"Otu000012",65
"Otu000005",65
"Otu000120",65
"Otu000085",65
"Otu000061",64
"Otu000155",63
"Otu000059",63
"Otu000180",63
"Otu000146",63
"Otu000014",63
"Otu000084",62
"Otu000065",61
"Otu000108",61
"Otu000044",61
"Otu000438",60
"Otu000021",60
"Otu000432",60
"Otu000165",59
"Otu000027",59
"Otu000036",59
"Otu000068",58
"Otu000039",56
"Otu000092",56
"Otu000109",54
"Otu000031",54
"Otu000278",53
"Otu000290",53
"Otu000096",53
"Otu000148",52
"Otu000026",52
"Otu000177",51
"Otu000463",50
"Otu000640",49
"Otu000047",49
"Otu000030",48
"Otu000151",48
"Otu000116",46
"Otu000028",46
"Otu000499",45
"Otu000058",45
"Otu000119",44
"Otu000128",43
"Otu000144",43
"Otu000063",43
"Otu000196",42
"Otu000002",40
"Otu000048",40
"Otu000088",39
"Otu000049",39
"Otu000105",39
"Otu000573",39
"Otu000150",38
"Otu000076",38
"Otu000194",38
"Otu000135",38
"Otu000310",37
"Otu000161",37
"Otu000099",36
"Otu000346",36
"Otu000034",36
"Otu000154",36
"Otu000064",36
"Otu000358",35
"Otu000042",34
"Otu000055",34
"Otu000075",34
"Otu000240",34
"Otu000147",34
"Otu000073",33
"Otu000261",33
"Otu000404",33
"Otu000156",33
"Otu001606",32
"Otu000101",32
"Otu000393",32
"Otu000746",32
"Otu000102",32
"Otu000070",31
"Otu000127",31
"Otu000139",31
"Otu000271",31
"Otu000167",30
"Otu000117",30
"Otu000185",30
"Otu000134",28
"Otu000514",28
"Otu000315",28
"Otu000283",28
"Otu000050",28
"Otu000011",27
"Otu000149",26
"Otu000244",26
"Otu000476",26
"Otu000199",25
"Otu000138",25
"Otu000121",25
"Otu000419",25
"Otu000087",24
"Otu000289",24
"Otu000765",24
"Otu000320",24
"Otu000072",24
"Otu000206",23
"Otu000091",23
"Otu000744",23
"Otu000530",23
"Otu000707",22
"Otu000187",22
"Otu000756",22
"Otu000449",22
"Otu000604",22
"Otu000368",21
"Otu000168",21
"Otu000300",21
"Otu000205",21
"Otu000163",21
"Otu000605",20
"Otu000523",20
"Otu000312",20
"Otu000418",19
"Otu000270",19
"Otu000178",19
"Otu000634",19
"Otu000286",19
"Otu000170",19
"Otu000484",19
"Otu000345",17
"Otu000209",17
"Otu000273",17
"Otu000378",17
"Otu000114",16
"Otu000176",16
"Otu000130",16
"Otu001087",16
"Otu000259",16
"Otu000166",16
"Otu000190",15
"Otu000340",15
"Otu000304",15
"Otu000251",15
"Otu000307",15
"Otu000420",15
"Otu000113",14
"Otu000287",14
"Otu000586",14
"Otu000276",14
"Otu000046",14
"Otu000528",14
"Otu000485",14
"Otu001011",13
"Otu000348",13
"Otu000333",13
"Otu000981",13
"Otu001422",13
"Otu000431",13
"Otu000045",13
"Otu000645",13
"Otu000831",12
"Otu000905",12
"Otu000301",12
"Otu000222",12
"Otu000504",12
"Otu000246",12
"Otu000679",12
"Otu000589",12
"Otu001942",12
"Otu000308",11
"Otu000780",11
"Otu000377",11
"Otu000515",11
"Otu000572",11
"Otu000245",11
"Otu000081",11
"Otu000786",11
"Otu000133",11
"Otu000355",11
"Otu000328",11
"Otu000918",11
"Otu000347",11
"Otu000840",11
"Otu000214",11
"Otu000590",11
"Otu000171",10
"Otu000267",10
"Otu000897",10
"Otu000740",10
"Otu000293",10
"Otu000943",10
"Otu000153",10
"Otu000145",10
"Otu000579",10
"Otu000029",10
"Otu000241",10
"Otu001016",9
"Otu000615",9
"Otu000402",9
"Otu000839",9
"Otu000441",9
"Otu000450",9
"Otu000704",9
"Otu000272",9
"Otu000342",9
"Otu000098",9
"Otu000157",9
"Otu000363",9
"Otu000621",9
"Otu000262",8
"Otu000182",8
"Otu000901",8
"Otu000125",8
"Otu000284",8
"Otu000129",8
"Otu000169",8
"Otu000349",8
"Otu001036",8
"Otu001027",8
"Otu000537",8
"Otu000086",8
"Otu001302",8
"Otu000158",8
"Otu000236",8
"Otu000140",8
"Otu001607",7
"Otu000430",7
"Otu001944",7
"Otu000294",7
"Otu000872",7
"Otu000447",7
"Otu000442",7
"Otu000183",7
"Otu000546",7
"Otu000660",7
"Otu001200",7
"Otu000486",7
"Otu001140",7
"Otu000545",7
"Otu000516",7
"Otu000795",7
"Otu000204",7
"Otu000721",7
"Otu000880",7
"Otu000309",7
"Otu001457",7
"Otu000934",6
"Otu000095",6
"Otu000554",6
"Otu000374",6
"Otu000221",6
"Otu000269",6
"Otu001207",6
"Otu000227",6
"Otu000547",6
"Otu001415",6
"Otu001106",6
"Otu000678",6
"Otu000017",6
"Otu000369",6
"Otu000495",6
"Otu000710",6
"Otu001312",6
"Otu001478",6
"Otu000768",6
"Otu000188",6
"Otu000570",6
"Otu000958",5
"Otu001520",5
"Otu001894",5
"Otu000032",5
"Otu000911",5
"Otu000136",5
"Otu000745",5
"Otu000038",5
"Otu004713",5
"Otu000107",5
"Otu001756",5
"Otu000878",5
"Otu000702",5
"Otu000193",5
"Otu000670",5
"Otu000242",5
"Otu001450",5
"Otu000225",5
"Otu000620",5
"Otu000653",5
"Otu000799",5
"Otu000219",5
"Otu000077",5
"Otu001433",5
"Otu001097",5
"Otu000893",5
"Otu000141",5
"Otu000819",5
"Otu001956",4
"Otu000231",4
"Otu000079",4
"Otu000802",4
"Otu000197",4
"Otu000254",4
"Otu000172",4
"Otu000849",4
"Otu000543",4
"Otu000835",4
"Otu000972",4
"Otu000191",4
"Otu001141",4
"Otu000203",4
"Otu001273",4
"Otu001495",4
"Otu000505",4
"Otu000808",4
"Otu000800",4
"Otu001199",4
"Otu001262",4
"Otu000110",4
"Otu001041",4
"Otu000057",4
"Otu001307",4
"Otu000202",3
"Otu000816",3
"Otu000446",3
"Otu000527",3
"Otu000361",3
"Otu000302",3
"Otu001086",3
"Otu000082",3
"Otu000822",3
"Otu004201",3
"Otu001317",3
"Otu000593",3
"Otu000908",3
"Otu002704",3
"Otu001471",3
"Otu000550",3
"Otu000739",3
"Otu001561",3
