<<<<<<< HEAD
"mean_MDA","sd_MDA","variable"
"1.32038896189613","1.12808130950186","Otu000012"
"0.914661896881532","0.711999195935088","Otu000044"
"0.820289789468936","0.872581996036328","Otu000229"
"0.672386552397323","0.460193492152184","Otu000006"
"0.662191727850087","0.359045333825942","Otu000146"
"0.650828896710251","0.634398918184629","Otu000911"
"0.643689115751878","0.397718576410735","Otu000043"
"0.567821454046529","0.675332485659243","Otu001307"
"0.566915821300839","0.378996678353159","Otu000605"
"0.56450860734327","0.262414368824756","Otu000037"
"0.540120780628118","0.260580714162786","Otu000013"
"0.498390002279561","0.196365309462094","Otu000005"
"0.492515106294702","0.426572976101184","Otu000660"
"0.468933604007146","0.24138047954756","Otu000059"
"0.464484053697402","0.33580295984101","Otu000831"
"0.463285008896747","0.219077854352225","Otu000058"
"0.462035500256466","0.306084708581337","Otu000340"
"0.461705996244833","0.243358674832054","Otu000028"
"0.457666139494483","0.426421534632282","Otu000446"
"0.443156736900902","0.341813199932588","Otu000251"
"0.435086024956732","0.240677830719467","Otu000640"
"0.425327173595817","0.13135393692114","Otu000015"
"0.414449297957054","0.20338805624101","Otu000476"
"0.412610290060053","0.183364308324283","Otu000008"
"0.410797986710968","0.148437689802874","Otu000014"
"0.398475501275571","0.129417149167068","Otu000001"
"0.397587350096818","0.174563862392758","Otu000194"
"0.391729962646727","0.247505741026886","Otu000570"
"0.388523046111931","0.154104952201951","Otu000041"
"0.380113231855301","0.124020201979928","Otu000016"
"0.365760570694024","0.125424096396288","Otu000007"
"0.364669846385836","0.128288327146038","Otu000108"
"0.363074056577155","0.167447830692392","Otu000088"
"0.3617179207344","0.15728241976489","Otu000027"
"0.36083250918966","0.196854851279863","Otu001606"
"0.358135121760745","0.110854078938643","Otu000047"
"0.346410492945743","0.0918372341529879","Otu000180"
"0.345353477139634","0.0905764959743672","Otu000004"
"0.34369244331098","0.12490149922297","Otu000155"
"0.341809018123703","0.113745292513516","Otu000026"
"0.340749000266783","0.0959673219593263","Otu000018"
"0.338254533424352","0.148669102819673","Otu000346"
"0.329852551638535","0.0847531911383173","Otu000003"
"0.328396844464532","0.0816885830223839","Otu000040"
"0.326281186031264","0.102031461880475","Otu000025"
"0.325802880569643","0.0920997313647183","Otu000002"
"0.322716627116611","0.103826608024618","Otu000290"
"0.320275113381372","0.107352729304169","Otu000177"
"0.315498408012287","0.08731306904844","Otu000065"
"0.304469520952458","0.0862281714386954","Otu000061"
"0.302040492488616","0.117074280148882","Otu000572"
"0.301609534594421","0.0534198570119682","Otu000009"
"0.291065291366405","0.0784487403485656","Otu000048"
"0.28997689992453","0.088768518414712","Otu000173"
"0.289635189828071","0.076026379239975","Otu000085"
"0.28962336347928","0.0893275960525664","Otu000092"
"0.28003410208626","0.056836421191001","Otu000010"
"0.279841610700907","0.0594993090481876","Otu000036"
"0.273466848016962","0.048032366833559","Otu000109"
"0.27303462914521","0.0574479625519622","Otu000020"
"0.267840510045577","0.0695543923371188","Otu000030"
=======
"mean_MDA","sd_MDA","variable"
"1.32038896189613","1.12808130950186","Otu000012"
"0.914661896881532","0.711999195935088","Otu000044"
"0.820289789468936","0.872581996036328","Otu000229"
