"Variable","total_appearance"
"Otu000640",90
"Otu000180",88
"Otu000167",87
"Otu000088",85
"Otu000108",84
"Otu000006",84
"Otu000001",83
"Otu000021",83
"Otu000732",83
"Otu000206",82
"Otu000368",82
"Otu000049",81
"Otu000010",80
"Otu000009",79
"Otu000169",77
"Otu000015",77
"Otu000177",75
"Otu000063",74
"Otu000110",72
"Otu001606",72
"Otu000264",72
"Otu000385",71
"Otu000302",69
"Otu000043",67
"Otu000702",67
"Otu000278",65
"Otu000835",65
"Otu000431",64
"Otu000040",64
"Otu000143",64
"Otu000002",63
"Otu000109",62
"Otu000073",62
"Otu000005",62
"Otu000050",62
"Otu000117",61
"Otu001317",60
"Otu000450",59
"Otu000137",59
"Otu000017",58
"Otu000483",55
"Otu000118",55
"Otu000573",54
"Otu000440",53
"Otu000096",53
"Otu000207",53
"Otu000020",53
"Otu000170",53
"Otu000476",52
"Otu000199",52
"Otu000119",52
"Otu000485",52
"Otu000155",51
"Otu000346",51
"Otu000048",51
"Otu002899",50
"Otu000172",48
"Otu000438",48
"Otu000888",47
"Otu000625",46
"Otu000045",46
"Otu000101",46
"Otu000157",46
"Otu000316",45
"Otu000418",45
"Otu002472",45
"Otu000007",45
"Otu000058",44
"Otu000205",44
"Otu000390",44
"Otu000016",43
"Otu000289",43
"Otu001431",43
"Otu000004",43
"Otu000037",42
"Otu000244",41
"Otu000029",41
"Otu000214",41
"Otu000014",41
"Otu000027",41
"Otu000138",41
"Otu000308",41
"Otu000041",40
"Otu000084",40
"Otu000012",40
"Otu000165",40
"Otu000787",39
"Otu000039",38
"Otu000145",38
"Otu000744",37
"Otu000036",37
"Otu000312",37
"Otu000044",36
"Otu000076",36
"Otu000139",36
"Otu000530",36
"Otu000746",36
"Otu000378",35
"Otu000432",35
"Otu000031",34
"Otu000867",34
"Otu000018",34
"Otu000074",34
"Otu000948",34
"Otu000026",33
"Otu000739",33
"Otu001678",32
"Otu000135",32
"Otu000013",32
"Otu000122",32
"Otu000436",32
"Otu000831",32
"Otu004634",32
"Otu000342",31
"Otu000023",31
"Otu000008",31
"Otu000262",31
"Otu000456",31
"Otu000707",31
"Otu000849",31
"Otu000463",30
"Otu000328",30
"Otu000144",30
"Otu000383",30
"Otu000120",30
"Otu000153",30
"Otu000156",30
"Otu000176",30
"Otu000197",30
"Otu000283",30
"Otu000329",30
"Otu000358",30
"Otu000469",30
"Otu000493",30
"Otu000140",29
"Otu000095",29
"Otu000242",29
"Otu000271",29
"Otu000650",29
"Otu000136",28
"Otu000245",28
"Otu000059",28
"Otu000075",28
"Otu000290",28
"Otu000369",28
"Otu001433",28
