"","pvalue","bh"
"chemo_red_les",0.0333166356407359,0.133266542562944
"chemo_red_IF",0.00013092431674105,0.0015710918008926
"rad_red_les",0.0754788463170646,0.226436538951194
"rad_red_IF",0.0213081880093516,0.12784912805611
"chemo_b",0.847137437719591,0.924149932057736
"rad_b",0.607970808457606,0.729564970149127
"chemo_sobs",0.594690634962668,0.729564970149127
"chemo_shannon",0.182209401365987,0.364418802731974
"chemo_shannoneven",0.162813844082613,0.364418802731974
"rads_sobs",0.93344833791502,0.93344833791502
"rads_shannon",0.383830773678835,0.65799561202086
"rads_shannoneven",0.496513118838031,0.729564970149127
