"Variable","total_appearance"
"Otu000202",100
"Otu001273",100
"Otu000037",100
"Otu001307",100
"Otu000001",100
"Otu000254",100
"Otu000570",100
"Otu000061",100
"Otu000006",100
"Otu000085",100
"Otu000442",99
"Otu000026",99
"Otu000315",99
"Otu000101",99
"Otu000010",99
"Otu000005",99
"Otu000076",99
"Otu000015",99
"Otu000004",98
"Otu000161",98
"Otu000756",98
"Otu000073",98
"Otu000021",98
"Otu000116",96
"Otu000031",94
"Otu000041",93
"Otu000640",92
"Otu000013",92
"Otu000002",91
"Otu000034",89
"Otu000679",87
"Otu000003",87
"Otu000149",86
"Otu000058",84
"Otu000340",83
"Otu000523",82
"Otu000420",81
"Otu000176",79
"Otu000059",79
"Otu000014",79
"Otu000016",77
"Otu000168",73
"Otu000605",73
"Otu000012",70
"Otu000290",68
"Otu000222",67
"Otu000140",67
"Otu000028",65
"Otu000432",63
"Otu000036",63
"Otu000009",62
"Otu000083",58
"Otu000278",58
"Otu000206",57
"Otu000135",55
"Otu000450",55
"Otu000484",55
"Otu000020",54
"Otu000144",52
