"ROC","Sens","Spec","ROCSD","SensSD","SpecSD","run","best_mtry"
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_1",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_2",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_3",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_4",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_5",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_6",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_7",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_8",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_9",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_10",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_11",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_12",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_13",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_14",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_15",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_16",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_17",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_18",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_19",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_20",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_21",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_22",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_23",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_24",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_25",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_26",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_27",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_28",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_29",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_30",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_31",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_32",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_33",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_34",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_35",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_36",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_37",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_38",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_39",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_40",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_41",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_42",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_43",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_44",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_45",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_46",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_47",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_48",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_49",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_50",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_51",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_52",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_53",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_54",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_55",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_56",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_57",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_58",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_59",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_60",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_61",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_62",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_63",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_64",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_65",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_66",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_67",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_68",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_69",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_70",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_71",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_72",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_73",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_74",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_75",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_76",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_77",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_78",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_79",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_80",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_81",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_82",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_83",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_84",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_85",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_86",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_87",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_88",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_89",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_90",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_91",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_92",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_93",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_94",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_95",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_96",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_97",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_98",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_99",1353
0.725,0.6,0.5,0.218898758942728,0.316227766016838,0.471404520791032,"run_100",1353
