"","AUC","ROC_cv","Sens_cv","Spec_cv"
"best",0.546764705882353,0.67737068288854,0.322912087912088,0.869845238095238
"middle",0.632647058823529,0.624690705128205,0.0711263736263736,0.93722619047619
"worse",0.706176470588235,0.578525052328624,0.0121978021978022,0.988285714285714
"full",0.623552302418234,NA,NA,NA
