"","AUC","ROC_cv","Sens_cv","Spec_cv"
"best",0.63,0.760710884353741,0.275851648351648,0.939011904761905
"worse",0.816470588235294,0.691837486917844,0.16010989010989,0.927154761904762
"full",0.731017789307885,NA,NA,NA
