"Variable","total_appearance"
"Otu000194",86
"Otu000042",80
"Otu000002",79
"Otu000278",79
"Otu000070",79
"Otu000180",76
"Otu000063",74
"Otu000101",73
"Otu000059",72
"Otu000199",72
"Otu000431",71
"Otu000044",70
"Otu000015",69
"Otu000918",68
"Otu000028",67
"Otu000061",65
"Otu000041",65
"Otu000010",65
"Otu000197",61
"Otu000363",61
"Otu000007",61
"Otu000240",60
"Otu000092",59
"Otu000287",57
"Otu000109",57
"Otu000020",56
"Otu000486",56
"Otu000055",56
"Otu000191",54
"Otu000040",54
"Otu000148",54
"Otu000382",54
"Otu000154",53
"Otu000438",52
"Otu001045",52
"Otu000031",51
"Otu000150",50
"Otu000037",48
"Otu000034",48
"Otu000006",47
"Otu000168",47
"Otu000346",46
"Otu000604",46
"Otu000009",46
"Otu000011",46
"Otu000484",46
"Otu000432",45
"Otu000016",45
"Otu000005",44
"Otu000048",44
"Otu000177",44
"Otu000074",44
"Otu000003",43
"Otu000840",43
"Otu000013",42
"Otu000744",42
"Otu000023",42
"Otu000050",42
"Otu000065",41
"Otu000640",41
"Otu001457",41
"Otu000120",41
"Otu000145",41
"Otu000068",40
"Otu000018",40
"Otu000043",40
"Otu000039",40
"Otu000119",40
"Otu000530",40
"Otu000246",39
"Otu000118",39
"Otu000008",39
"Otu000021",38
"Otu000458",38
"Otu000186",38
"Otu000047",37
"Otu000014",37
"Otu000269",37
"Otu000004",37
"Otu000328",36
"Otu000515",36
"Otu000026",35
"Otu000290",35
"Otu000046",35
"Otu000084",34
"Otu000087",34
"Otu000540",34
"Otu000001",34
"Otu000304",33
"Otu000316",33
"Otu000292",33
"Otu000469",33
"Otu000675",33
"Otu000117",32
"Otu000638",32
"Otu000170",32
"Otu000315",32
"Otu000378",31
"Otu000085",31
"Otu000222",31
"Otu000605",31
"Otu000368",31
"Otu000433",31
"Otu000704",30
"Otu000393",30
"Otu000019",30
"Otu000412",30
"Otu000178",30
"Otu000146",29
"Otu000404",28
"Otu000156",28
"Otu000025",28
"Otu000499",28
"Otu000073",27
"Otu000173",27
"Otu000300",27
"Otu000049",26
"Otu000244",26
"Otu000430",25
"Otu000029",25
"Otu000151",24
"Otu000264",24
"Otu000165",24
"Otu000731",24
"Otu000012",22
"Otu000147",22
"Otu000262",22
"Otu000768",22
"Otu000139",22
"Otu000099",22
"Otu000205",22
"Otu000064",22
"Otu000337",22
"Otu000289",22
"Otu000144",22
"Otu000030",22
"Otu000436",22
"Otu000340",22
"Otu000765",21
"Otu000187",21
"Otu000027",21
"Otu000508",21
"Otu000108",21
"Otu000504",20
"Otu000219",20
"Otu000572",20
"Otu000358",20
"Otu000128",20
"Otu000036",20
"Otu000138",20
"Otu000096",20
"Otu000206",20
"Otu000121",19
"Otu000161",19
"Otu000449",19
"Otu000038",19
"Otu000122",19
"Otu000241",19
"Otu001606",19
"Otu000333",19
"Otu000441",19
"Otu000091",19
"Otu000475",19
"Otu000427",18
"Otu000349",18
"Otu000072",18
"Otu000172",18
"Otu000130",18
"Otu000088",18
"Otu000105",18
"Otu000193",18
"Otu000185",18
"Otu000286",18
"Otu000102",17
"Otu000892",17
"Otu000402",17
"Otu000307",17
"Otu000234",17
"Otu000573",17
"Otu000076",17
"Otu000849",16
"Otu000017",16
"Otu001552",16
"Otu000710",16
"Otu000116",16
"Otu000079",16
"Otu000135",16
"Otu000114",16
"Otu000196",16
"Otu000298",16
"Otu000707",15
"Otu000245",15
"Otu000058",15
"Otu001253",15
"Otu000062",15
"Otu000083",14
"Otu000463",14
"Otu000545",14
"Otu000155",14
"Otu000169",14
"Otu000075",14
"Otu000537",14
"Otu000283",14
"Otu000188",14
"Otu000547",13
"Otu000746",13
"Otu000419",13
"Otu000236",13
"Otu000032",13
"Otu000098",13
"Otu002917",13
"Otu000183",13
"Otu000310",13
"Otu000359",13
"Otu001016",13
"Otu001757",12
"Otu000125",12
"Otu000134",12
"Otu000203",12
"Otu002979",12
"Otu000176",12
"Otu000214",12
"Otu000217",12
"Otu000301",12
"Otu000579",12
"Otu000660",12
"Otu001642",12
"Otu001141",11
"Otu000140",11
"Otu000418",11
"Otu001422",11
"Otu000272",11
"Otu000149",11
"Otu000271",11
"Otu000277",11
"Otu000153",11
"Otu000274",11
"Otu001543",11
"Otu000645",11
"Otu000209",11
"Otu000210",11
"Otu000478",11
"Otu003494",11
"Otu000342",10
"Otu000204",10
"Otu001402",10
"Otu001820",10
"Otu000361",10
"Otu000911",10
"Otu001431",10
"Otu000476",10
"Otu001087",10
"Otu000615",10
"Otu000045",10
"Otu000893",10
"Otu000621",10
"Otu000692",10
"Otu000166",10
"Otu000113",10
"Otu000171",10
"Otu000329",10
"Otu000415",10
"Otu000719",10
"Otu000355",9
"Otu000308",9
"Otu000159",9
"Otu000529",9
"Otu000668",9
"Otu003300",9
"Otu000375",9
"Otu000254",9
"Otu000207",9
"Otu001102",9
"Otu000456",9
"Otu000586",9
"Otu000756",9
"Otu000259",9
"Otu002016",9
"Otu000590",9
"Otu000081",9
"Otu000353",9
"Otu000634",9
"Otu001134",9
"Otu001607",9
"Otu000589",8
"Otu000672",8
"Otu000189",8
"Otu000516",8
"Otu000115",8
"Otu001097",8
"Otu000057",8
"Otu000485",8
"Otu001495",8
"Otu001041",8
"Otu000347",8
"Otu000302",8
"Otu000702",8
"Otu000309",8
"Otu000517",8
"Otu001036",8
"Otu000554",8
"Otu000571",8
"Otu000293",8
"Otu000369",8
"Otu000450",8
"Otu002070",8
"Otu002230",8
"Otu000312",7
"Otu000739",7
"Otu001348",7
"Otu001864",7
"Otu002212",7
"Otu000260",7
"Otu002644",7
"Otu000182",7
"Otu000835",7
"Otu000844",7
"Otu000107",7
"Otu001714",7
"Otu000110",7
"Otu000345",7
"Otu001133",7
"Otu000082",7
"Otu000901",7
"Otu000447",7
"Otu000635",7
"Otu000423",7
"Otu000167",7
"Otu000288",7
"Otu000251",7
"Otu000257",7
"Otu000390",7
"Otu001259",7
"Otu001374",7
"Otu001476",7
"Otu000133",6
"Otu000377",6
"Otu000325",6
"Otu000261",6
"Otu000106",6
"Otu000221",6
"Otu000273",6
"Otu000201",6
"Otu000877",6
"Otu000546",6
"Otu000880",6
"Otu000157",6
"Otu000317",6
"Otu000268",6
"Otu000734",6
"Otu001430",6
"Otu000127",6
"Otu000786",6
"Otu000281",6
"Otu000294",6
"Otu000873",6
"Otu001162",6
"Otu001540",6
"Otu001678",6
"Otu000528",5
"Otu001312",5
"Otu001740",5
"Otu000400",5
"Otu000908",5
"Otu000886",5
"Otu001796",5
"Otu000570",5
"Otu000077",5
"Otu000831",5
"Otu000867",5
"Otu000761",5
"Otu000158",5
"Otu000514",5
"Otu000305",5
"Otu000832",5
"Otu000943",5
"Otu000093",5
"Otu000685",5
"Otu000195",5
"Otu000670",5
"Otu000614",5
"Otu000132",5
"Otu000216",5
"Otu000253",5
"Otu000285",5
"Otu000320",5
"Otu000439",5
"Otu000633",5
"Otu000741",5
"Otu000781",5
"Otu001520",5
"Otu001895",5
"Otu002827",5
"Otu000569",4
"Otu000324",4
"Otu000124",4
"Otu001218",4
"Otu000866",4
"Otu000934",4
"Otu001043",4
"Otu000740",4
"Otu000650",4
"Otu000839",4
"Otu000526",4
"Otu001014",4
"Otu001508",4
"Otu000914",4
"Otu000265",4
"Otu000627",4
"Otu002082",4
"Otu000069",4
"Otu001203",4
"Otu002089",4
"Otu000917",4
"Otu001307",4
"Otu009487",4
"Otu000376",4
"Otu000227",4
"Otu000296",4
"Otu000399",4
"Otu001095",4
"Otu000334",4
"Otu000330",4
"Otu000225",4
"Otu000505",4
"Otu000270",4
"Otu000878",4
"Otu000389",4
"Otu000994",4
"Otu000417",4
"Otu000067",4
"Otu000218",4
"Otu000235",4
"Otu000275",4
"Otu000311",4
"Otu000322",4
"Otu000366",4
"Otu000394",4
"Otu000437",4
"Otu000555",4
"Otu000679",4
"Otu000958",4
"Otu001596",4
"Otu002194",4
"Otu000577",3
"Otu005269",3
"Otu001110",3
"Otu000770",3
"Otu003076",3
"Otu000090",3
"Otu001419",3
"Otu001877",3
"Otu000212",3
"Otu000491",3
"Otu000385",3
"Otu000527",3
"Otu000136",3
"Otu000653",3
"Otu000440",3
"Otu000769",3
"Otu001657",3
"Otu000536",3
"Otu000755",3
"Otu000695",3
"Otu002036",3
"Otu000721",3
"Otu000200",3
"Otu000434",3
"Otu001478",3
"Otu001145",3
"Otu001172",3
"Otu000111",3
"Otu000869",3
"Otu000532",3
"Otu002965",3
"Otu000897",3
"Otu002095",3
"Otu000700",3
"Otu000565",3
"Otu000242",3
"Otu000524",3
"Otu002072",3
"Otu000497",3
"Otu001340",3
"Otu000601",3
"Otu000282",3
"Otu000461",3
"Otu001941",3
"Otu000616",3
"Otu001178",3
"Otu001111",3
"Otu000179",3
"Otu000223",3
"Otu000552",3
"Otu000561",3
"Otu000725",3
"Otu000774",3
"Otu000981",3
"Otu001123",3
"Otu001194",3
"Otu001201",3
"Otu001380",3
"Otu001429",3
"Otu001447",3
"Otu001707",3
"Otu001828",3
"Otu002210",3
"Otu006408",3
"Otu001317",2
"Otu001030",2
"Otu001139",2
"Otu002596",2
"Otu013807",2
"Otu000800",2
"Otu001415",2
"Otu000848",2
"Otu000365",2
"Otu001527",2
"Otu001129",2
"Otu000649",2
"Otu000095",2
"Otu000160",2
"Otu000628",2
"Otu001499",2
"Otu000674",2
"Otu002340",2
"Otu001206",2
"Otu000231",2
"Otu000925",2
"Otu000112",2
"Otu001179",2
"Otu000372",2
"Otu001823",2
"Otu000875",2
"Otu000163",2
"Otu000631",2
"Otu000276",2
"Otu000401",2
"Otu000696",2
"Otu001751",2
"Otu000326",2
"Otu000407",2
"Otu000887",2
"Otu001173",2
"Otu000900",2
"Otu001441",2
"Otu000543",2
"Otu000215",2
"Otu004634",2
"Otu000473",2
"Otu000513",2
"Otu001128",2
"Otu001090",2
"Otu000872",2
"Otu000164",2
"Otu000097",2
"Otu000198",2
"Otu000247",2
"Otu000284",2
"Otu000314",2
"Otu000318",2
"Otu000348",2
"Otu000386",2
"Otu000460",2
"Otu000525",2
"Otu000610",2
"Otu000618",2
"Otu000661",2
"Otu000703",2
"Otu000723",2
"Otu000745",2
"Otu000760",2
"Otu000820",2
"Otu000826",2
"Otu001135",2
"Otu001151",2
"Otu001152",2
"Otu001165",2
"Otu001174",2
"Otu001199",2
"Otu001249",2
"Otu001309",2
"Otu001531",2
"Otu001568",2
"Otu001579",2
"Otu001933",2
"Otu001963",2
"Otu002383",2
"Otu002659",2
"Otu000380",1
"Otu002561",1
"Otu000255",1
"Otu000453",1
"Otu000888",1
"Otu001027",1
"Otu000712",1
"Otu000327",1
"Otu000697",1
"Otu000512",1
"Otu002154",1
"Otu000733",1
"Otu001008",1
"Otu001026",1
"Otu000972",1
"Otu000089",1
"Otu000022",1
"Otu000364",1
"Otu001593",1
"Otu000406",1
"Otu003032",1
"Otu001116",1
"Otu000303",1
"Otu000665",1
"Otu001028",1
"Otu001158",1
"Otu000413",1
"Otu000267",1
"Otu001872",1
"Otu000799",1
"Otu001035",1
"Otu000384",1
"Otu001009",1
"Otu000230",1
"Otu001354",1
"Otu001906",1
"Otu000360",1
"Otu000598",1
"Otu001022",1
"Otu000332",1
"Otu000248",1
"Otu000424",1
"Otu001451",1
"Otu001106",1
"Otu002024",1
"Otu004633",1
"Otu000681",1
"Otu001613",1
"Otu000717",1
"Otu000759",1
"Otu000487",1
"Otu003651",1
"Otu000383",1
"Otu001122",1
"Otu001254",1
"Otu001638",1
"Otu002122",1
"Otu004688",1
"Otu000613",1
"Otu000522",1
"Otu001807",1
"Otu000086",1
"Otu000550",1
"Otu000941",1
"Otu000123",1
"Otu000403",1
"Otu000821",1
"Otu001170",1
"Otu000926",1
"Otu001053",1
"Otu001803",1
"Otu000903",1
"Otu000494",1
"Otu000425",1
"Otu001156",1
"Otu000654",1
"Otu000483",1
"Otu000729",1
"Otu000742",1
"Otu000595",1
"Otu000233",1
"Otu000078",1
"Otu000181",1
"Otu000213",1
"Otu000250",1
"Otu000374",1
"Otu000420",1
"Otu000428",1
"Otu000443",1
"Otu000445",1
"Otu000452",1
"Otu000523",1
"Otu000593",1
"Otu000749",1
"Otu000750",1
"Otu000754",1
"Otu000758",1
"Otu000777",1
"Otu000825",1
"Otu000842",1
"Otu000907",1
"Otu000952",1
"Otu000960",1
"Otu000990",1
"Otu001004",1
"Otu001048",1
"Otu001063",1
"Otu001103",1
"Otu001109",1
"Otu001142",1
"Otu001200",1
"Otu001222",1
"Otu001229",1
"Otu001261",1
"Otu001284",1
"Otu001295",1
"Otu001334",1
"Otu001383",1
"Otu001410",1
"Otu001423",1
"Otu001433",1
"Otu001435",1
"Otu001471",1
"Otu001532",1
"Otu001544",1
"Otu001553",1
"Otu001600",1
"Otu001633",1
"Otu001651",1
"Otu001880",1
"Otu002020",1
"Otu002047",1
"Otu002592",1
"Otu002632",1
"Otu002704",1
"Otu002738",1
"Otu002869",1
"Otu002986",1
"Otu003151",1
"Otu004238",1
"Otu000823",0
"Otu000143",0
"Otu000249",0
"Otu001324",0
"Otu000763",0
"Otu001426",0
"Otu001766",0
"Otu000291",0
"Otu001140",0
"Otu002188",0
"Otu001806",0
"Otu000606",0
"Otu001961",0
"Otu001970",0
"Otu002737",0
"Otu000720",0
"Otu000975",0
"Otu002397",0
"Otu000373",0
"Otu000299",0
"Otu000928",0
"Otu002969",0
"Otu000829",0
"Otu002050",0
"Otu000391",0
"Otu000905",0
"Otu001940",0
"Otu000709",0
"Otu000362",0
"Otu002805",0
"Otu000557",0
"Otu001001",0
"Otu000343",0
"Otu004286",0
"Otu001177",0
"Otu000920",0
"Otu000641",0
"Otu001404",0
"Otu000727",0
"Otu002740",0
"Otu000568",0
"Otu000350",0
"Otu000664",0
"Otu001033",0
"Otu004881",0
"Otu000367",0
"Otu000190",0
"Otu000935",0
"Otu000624",0
"Otu000220",0
"Otu000970",0
"Otu000853",0
"Otu000381",0
"Otu002056",0
"Otu001290",0
"Otu001305",0
"Otu000388",0
"Otu000620",0
"Otu001195",0
"Otu001252",0
"Otu001329",0
"Otu001395",0
"Otu004579",0
"Otu000802",0
"Otu001232",0
"Otu000701",0
"Otu001286",0
"Otu002996",0
"Otu002345",0
"Otu001908",0
"Otu001049",0
"Otu001438",0
"Otu000854",0
"Otu000736",0
"Otu004201",0
"Otu002003",0
"Otu000830",0
"Otu000297",0
"Otu000548",0
"Otu000735",0
"Otu000689",0
"Otu001147",0
"Otu001401",0
"Otu003415",0
"Otu000795",0
"Otu000313",0
"Otu001296",0
"Otu000141",0
"Otu000192",0
"Otu001120",0
"Otu003012",0
"Otu000471",0
"Otu001666",0
"Otu001413",0
"Otu007118",0
"Otu001656",0
"Otu001242",0
"Otu000398",0
"Otu001056",0
"Otu001949",0
"Otu000683",0
"Otu000137",0
"Otu000152",0
"Otu000211",0
"Otu000226",0
"Otu000239",0
"Otu000379",0
"Otu000408",0
"Otu000446",0
"Otu000489",0
"Otu000498",0
"Otu000510",0
"Otu000538",0
"Otu000563",0
"Otu000636",0
"Otu000646",0
"Otu000690",0
"Otu000713",0
"Otu000764",0
"Otu000822",0
"Otu000833",0
"Otu000856",0
"Otu000882",0
"Otu000889",0
"Otu000923",0
"Otu000924",0
"Otu000944",0
"Otu000980",0
"Otu000982",0
"Otu000991",0
"Otu001000",0
"Otu001080",0
"Otu001086",0
"Otu001137",0
"Otu001153",0
"Otu001181",0
"Otu001184",0
"Otu001214",0
"Otu001231",0
"Otu001262",0
"Otu001280",0
"Otu001331",0
"Otu001335",0
"Otu001346",0
"Otu001378",0
"Otu001414",0
"Otu001463",0
"Otu001518",0
"Otu001577",0
"Otu001580",0
"Otu001584",0
"Otu001586",0
"Otu001727",0
"Otu001765",0
"Otu001888",0
"Otu001959",0
"Otu002021",0
"Otu002088",0
"Otu002098",0
"Otu002138",0
"Otu002155",0
"Otu002209",0
"Otu002408",0
"Otu002413",0
"Otu002415",0
"Otu002476",0
"Otu002594",0
"Otu002657",0
"Otu002935",0
"Otu003017",0
"Otu003069",0
"Otu003087",0
"Otu003093",0
"Otu003335",0
"Otu003357",0
"Otu003408",0
"Otu003582",0
"Otu003627",0
"Otu003685",0
"Otu003701",0
"Otu003726",0
"Otu004102",0
"Otu004384",0
"Otu008928",0
"Otu009374",0
"Otu012806",0
