"Variable","total_appearance"
"Otu000004",88
"Otu000016",86
"Otu000010",85
"Otu000014",83
"Otu000005",83
"Otu000040",83
"Otu000037",81
"Otu000020",81
"Otu000015",81
"Otu000009",80
"Otu000013",80
"Otu000006",79
"Otu000003",78
"Otu000001",78
"Otu000031",77
"Otu000043",77
"Otu000023",76
"Otu000007",74
"Otu000085",74
"Otu000018",73
"Otu000021",73
"Otu000026",72
"Otu000041",72
"Otu000008",72
"Otu000148",71
"Otu000180",71
"Otu000177",71
"Otu000002",70
"Otu000092",70
"Otu000061",70
"Otu000047",69
"Otu000012",69
"Otu000039",67
"Otu000084",67
"Otu000030",67
"Otu000120",67
"Otu000378",66
"Otu000028",66
"Otu000059",65
"Otu000036",63
"Otu000640",61
"Otu000044",60
"Otu000034",60
"Otu000116",60
"Otu000102",59
"Otu000065",59
"Otu000438",59
"Otu000063",58
"Otu000165",58
"Otu000290",57
"Otu000073",56
"Otu000463",56
"Otu000074",56
"Otu000109",56
"Otu000019",55
"Otu000122",55
"Otu000070",52
"Otu000155",52
"Otu000205",51
"Otu000048",51
"Otu000101",51
"Otu000178",50
"Otu000108",49
"Otu000194",49
"Otu000119",49
"Otu000161",48
"Otu000346",48
"Otu000154",48
"Otu000432",48
"Otu000138",47
"Otu000049",47
"Otu000146",47
"Otu000144",47
"Otu000278",46
"Otu000139",45
"Otu000068",45
"Otu000025",45
"Otu000027",44
"Otu000121",44
"Otu000058",44
"Otu000134",44
"Otu000088",43
"Otu000076",43
"Otu000271",43
"Otu000075",43
"Otu001606",43
"Otu000099",42
"Otu000151",42
"Otu000011",42
"Otu000117",40
"Otu000042",40
"Otu000449",39
"Otu000055",39
"Otu000083",37
"Otu000173",37
"Otu000135",36
"Otu000240",36
"Otu000328",35
"Otu000113",34
"Otu000393",34
"Otu000573",34
"Otu000096",33
"Otu000368",32
"Otu000167",32
"Otu000170",32
"Otu000185",30
"Otu000196",30
"Otu000418",30
"Otu000289",30
"Otu000707",30
"Otu000114",30
"Otu000206",29
"Otu000156",28
"Otu000572",27
"Otu000128",27
"Otu000188",27
"Otu000050",26
"Otu000214",26
"Otu000191",26
"Otu000537",26
"Otu000880",25
"Otu000032",24
"Otu000166",24
"Otu000064",22
"Otu000530",22
"Otu000081",21
"Otu000187",21
"Otu000118",21
"Otu000634",21
"Otu000246",21
"Otu000222",21
"Otu000333",20
"Otu000746",20
"Otu000358",20
"Otu000269",20
"Otu000038",20
"Otu000528",19
"Otu000133",19
"Otu000340",18
"Otu000149",18
"Otu000476",18
"Otu000307",18
"Otu000017",18
"Otu000273",17
"Otu000514",17
"Otu000310",17
"Otu000062",17
"Otu000348",17
"Otu000262",17
"Otu000199",17
"Otu000171",17
"Otu000404",17
"Otu000098",17
"Otu000486",16
"Otu000315",16
"Otu000781",16
"Otu000204",16
"Otu000127",16
"Otu000300",16
"Otu000029",16
"Otu000419",16
"Otu000308",15
"Otu000744",15
"Otu000105",15
"Otu000710",15
"Otu000221",15
"Otu000765",15
"Otu000150",15
"Otu000831",15
"Otu000431",15
"Otu000301",15
"Otu000704",15
"Otu000402",14
"Otu000504",14
"Otu000169",14
"Otu000087",14
"Otu000441",13
"Otu000241",13
"Otu000590",13
"Otu000345",13
"Otu000261",13
"Otu000125",13
"Otu001095",13
"Otu000450",12
"Otu000645",12
"Otu000586",12
"Otu000499",12
"Otu000245",12
"Otu000072",12
"Otu000312",12
"Otu000800",11
"Otu000082",11
"Otu000897",11
"Otu001478",11
"Otu000347",11
"Otu000702",11
"Otu000091",11
"Otu000086",11
"Otu000892",11
"Otu000692",10
"Otu000540",10
"Otu000304",10
"Otu000230",10
"Otu000219",10
"Otu000209",10
"Otu000589",10
"Otu000251",10
"Otu000046",10
"Otu000270",10
"Otu000756",9
"Otu000672",9
"Otu000287",9
"Otu000298",9
"Otu000316",9
"Otu000157",9
"Otu000275",9
"Otu001253",9
"Otu000712",9
"Otu000375",9
"Otu000484",9
"Otu000786",9
"Otu001087",9
"Otu000653",9
"Otu000110",9
"Otu000554",8
"Otu000244",8
"Otu000363",8
"Otu000469",8
"Otu000276",8
"Otu000267",8
"Otu000079",8
"Otu000147",8
"Otu000093",8
"Otu001823",8
"Otu000077",8
"Otu001014",8
"Otu000994",8
"Otu000130",8
"Otu000934",8
"Otu000197",8
"Otu000844",8
"Otu000430",8
"Otu000045",8
"Otu000604",8
"Otu001335",7
"Otu001607",7
"Otu000159",7
"Otu000145",7
"Otu000570",7
"Otu000097",7
"Otu000355",7
"Otu000254",7
"Otu000901",7
"Otu000740",7
"Otu000236",7
"Otu000377",7
"Otu000140",7
"Otu000078",7
"Otu000390",7
"Otu000234",7
"Otu000293",7
"Otu000839",6
"Otu000124",6
"Otu000235",6
"Otu000153",6
"Otu001128",6
"Otu000867",6
"Otu000095",6
"Otu000615",6
"Otu000291",6
"Otu000366",6
"Otu000212",6
"Otu000427",6
"Otu000563",6
"Otu001422",6
"Otu001036",6
"Otu000918",6
"Otu000143",6
"Otu000195",6
"Otu000679",6
"Otu000106",6
"Otu000324",6
"Otu000447",6
"Otu000242",6
"Otu000337",6
"Otu000665",6
"Otu000067",6
"Otu000579",6
"Otu000761",6
"Otu000320",6
"Otu000137",6
"Otu001048",5
"Otu000136",5
"Otu000115",5
"Otu000873",5
"Otu000621",5
"Otu001106",5
"Otu000227",5
"Otu000605",5
"Otu000376",5
"Otu000283",5
"Otu000326",5
"Otu000383",5
"Otu000168",5
"Otu000878",5
"Otu000317",5
"Otu000361",5
"Otu001110",5
"Otu000731",5
"Otu000268",5
"Otu000400",5
"Otu000877",5
"Otu000505",5
"Otu000739",5
"Otu000436",5
"Otu000259",5
"Otu000401",5
"Otu000770",5
"Otu001796",5
"Otu000207",5
"Otu000685",5
"Otu000172",4
"Otu000183",4
"Otu001476",4
"Otu000281",4
"Otu000631",4
"Otu000875",4
"Otu001757",4
"Otu000334",4
"Otu000943",4
"Otu001402",4
"Otu000364",4
"Otu000650",4
"Otu001173",4
"Otu000274",4
"Otu000201",4
"Otu000367",4
"Otu000231",4
"Otu004201",4
"Otu000660",4
"Otu001290",4
"Otu000417",4
