"Variable","median_mda","iqr25","iqr75","tax_ID"
"Otu000012",1.20400397193316,0.38034793768654,1.53366097397972,"Clostridiales"
"Otu000044",0.800819678051729,0.371843279970801,1.12757137476581,"Clostridium XlVa"
"Otu000146",0.637442200381986,0.338322252612412,0.848259137584957,"Roseburia"
"Otu000229",0.608865153466872,0.240742187342677,0.932645112540513,"Odoribacter"
"Otu000006",0.565631644260911,0.324783319088722,0.833392235554821,"Bacteroides"
"Otu000043",0.548604668411505,0.331859370462443,0.818767663771364,"Ruminococcaceae"
"Otu000037",0.529781770969523,0.336358725053096,0.698499080060197,"Streptococcus"
"Otu000605",0.51683046927564,0.262980726900583,0.701906533222437,"Blautia"
"Otu000911",0.495052205674458,0.205643638805617,0.757579542540396,"Lachnospiraceae"
"Otu000013",0.489628109455152,0.313224778476405,0.688790009790932,"Blautia"
"Otu000005",0.465137237520491,0.315468861800052,0.650386128370046,"Bacteroides"
"Otu000058",0.442397890900055,0.289164181044291,0.555012690749579,"Lachnospiraceae"
"Otu000028",0.419191543175077,0.268955596603168,0.577140237213017,"Ruminococcus"
"Otu000059",0.418690241250808,0.281426063855719,0.551045588212732,"Bacteroides"
"Otu000660",0.412828691443194,0.209123520798352,0.623272779615453,"Actinomyces"
"Otu000015",0.403077866120983,0.307117528832589,0.502889543913403,"Lachnospiraceae"
"Otu000014",0.383859613426984,0.295788376893871,0.487793150675047,"Clostridiales"
"Otu000640",0.379485240391339,0.264416692242837,0.50830344848376,"Lachnospiraceae"
"Otu001307",0.377496709754787,0.187470283217555,0.623143328078063,"Coprobacillus"
"Otu000001",0.368562381147903,0.303065850892756,0.463777329468585,"Bacteroides"
"Otu000476",0.36331623538191,0.234841877169209,0.533904182378667,"Lachnospiraceae"
"Otu000016",0.360643797862283,0.281350009122386,0.438746909777418,"Dorea"
"Otu000831",0.359248203163582,0.237927565260011,0.561579053075528,"Firmicutes"
"Otu000340",0.35812248677223,0.237667061559711,0.616543242642758,"Dorea"
"Otu000008",0.357355346726073,0.268178615997124,0.504512261271197,"Bifidobacterium"
"Otu000446",0.346490540373161,0.175190246324049,0.590939685832615,"Ruminococcus"
"Otu000194",0.346253459163309,0.267384097450471,0.466538946918154,"Actinomyces"
"Otu000251",0.346102142406162,0.228470067864858,0.5397844788616,"Ruminococcaceae"
"Otu000041",0.343425597022059,0.278787054616712,0.456054400815881,"Clostridium XI"
"Otu000108",0.336846816680962,0.256534817687416,0.450109188365684,"Roseburia"
"Otu000180",0.334449804537614,0.270726165823151,0.406887429719134,"Clostridiales"
"Otu000007",0.332488340221772,0.269724486736886,0.446209520689866,"Faecalibacterium"
"Otu000047",0.331980226208593,0.271754969069311,0.420239872114725,"Clostridium XVIII"
"Otu000570",0.327899291393278,0.211413707805744,0.490630403049826,"Gemella"
"Otu000018",0.327235255836744,0.268868589273288,0.384486016066105,"Escherichia/Shigella"
"Otu000026",0.326245640210649,0.25869190611717,0.384063470639337,"Collinsella"
