"Variable","median_mda","iqr25","iqr75"
"Otu000640",1.6030717089227,0.150008590336915,2.07967105742391
"Otu000180",0.838603715238855,0.152311669324827,1.15332665345515
"Otu000088",0.455983540202734,0.0769444444444445,0.710218132094761
"Otu000108",0.318476896758811,0.071187060789228,0.557683421181857
"Otu000167",0.217472761336189,0.0662215587989582,0.407978995721416
"Otu000206",0.21134384977207,0.0628629760018776,0.405512003619838
"Otu000001",0.197583004947883,0.068864522417154,0.307902074067686
"Otu000368",0.160500914719955,0.0586584550318103,0.267011090558385
"Otu000021",0.131845296264534,0.0582823428093205,0.237114203322705
"Otu000006",0.125810848634125,0.0652898782504046,0.238145382395382
"Otu000009",0.122213796802613,0.0474967524294313,0.221507279270437
"Otu000010",0.119017729567192,0.0430909594791174,0.231693672222133
"Otu000177",0.116917649236728,0.0317539470333588,0.208482015669516
"Otu000049",0.108993496367181,0.0466636904761905,0.213664967755357
"Otu000015",0.102275689223058,0.0358796992481203,0.15968765546154
"Otu000063",0.099104973973395,0.0374900318979266,0.180775824364834
"Otu001606",0.0983984323075856,0.0253421052631579,0.219187671318788
"Otu000732",0.097344019138756,0.0513650689223058,0.176962653473081
"Otu000264",0.0947006573749608,0.0345,0.200961391678497
"Otu000110",0.0943305469187822,0.0245357142857143,0.170413647240273
"Otu000169",0.0914123544154504,0.0408060904612629,0.172594509277744
"Otu000385",0.0785084073820916,0.0211666666666667,0.16160327344654
"Otu000302",0.0766597184112159,0.0166027568922306,0.20732075332392
"Otu000143",0.064395324539637,0.00621527777777778,0.108019167869168
"Otu000043",0.0636231710497965,0.014969696969697,0.102256279904306
"Otu000431",0.0629066113624937,0.0170927318295739,0.103743576683645
"Otu000040",0.0614122531063707,0,0.100948474126493
"Otu000835",0.061118578255675,0.0168571428571429,0.110441596087921
"Otu000450",0.0608176986819435,0.0154147465437788,0.11961081871345
"Otu000017",0.0590445845004668,0,0.121283821733822
"Otu000002",0.0583479853479853,0.014452614379085,0.124957196360397
"Otu000278",0.0582199813258637,0.0187330316742082,0.10414994006756
"Otu000073",0.0580044217886206,0.0145833333333333,0.119193050492393
"Otu000117",0.0574404761904762,0,0.142452712627033
"Otu000702",0.0571756597375792,0.0191172375382902,0.135552812180112
"Otu000050",0.0569960821594215,0.00470158102766798,0.094561403508772
"Otu000137",0.0524965517241379,0,0.125193961730429
"Otu000109",0.0507631578947369,0.00266666666666666,0.100535161432994
"Otu001317",0.0497008247743542,0.0091547619047619,0.0998316484967589
"Otu000096",0.0470409356725146,0.0015,0.0944099923722349
"Otu000005",0.0469001402408843,0.0181818181818182,0.0978627641615757
"Otu000155",0.0437327672327672,0,0.154731715755864
"Otu000573",0.0412091307814992,0,0.089702933518723
"Otu000440",0.0411893988364577,0,0.0656126482213439
"Otu000170",0.0387840590781767,0,0.100663875598086
"Otu000199",0.0385120890461448,0,0.0757952110668829
"Otu000207",0.0366952380952381,0,0.0846015037593985
