"mean_MDA","sd_MDA","variable"
"9e-04","0","Otu000337"
"8e-04","0","Otu000326"
"8e-04","0","Otu000332"
"8e-04","0","Otu000483"
"8e-04","0","Otu001237"
"8e-04","0","Otu001786"
"8e-04","0","Otu002403"
"3.04687457598104","0","Otu000120"
"3.01362951340953","0","Otu000586"
"1.59592026636493","0","Otu001302"
"0.686869743037195","0","Otu000740"
"0.573571350600461","0","Otu000320"
"0.551293918940476","0","Otu001036"
"0.531176319032075","0","Otu000358"
"0.510580326965716","0","Otu000009"
"0.47870123014872","0","Otu001944"
"0.277796551549948","0","Otu000065"
"0.274368430173509","0","Otu000008"
"0.270088353636811","0","Otu000515"
"0.248383534870033","0","Otu000026"
"0.225898685121779","0","Otu000028"
"0.218239877801161","0","Otu000590"
"0.218081056989587","0","Otu000432"
"0.206209251123541","0","Otu000099"
"0.206102075945903","0","Otu000178"
"0.204386478644797","0","Otu000283"
"0.203972189497951","0","Otu000156"
"0.202959665289058","0","Otu000122"
"0.168719200376851","0","Otu000196"
"0.16748823396353","0","Otu000832"
"0.155893114456495","0","Otu000244"
"0.151961938034","0","Otu000259"
"0.146077898427356","0","Otu000221"
"0.131188496368005","0","Otu000015"
"0.127826377073437","0","Otu000315"
"0.125078703114902","0","Otu000404"
"0.120954231941887","0","Otu000011"
"0.119194721482886","0","Otu000363"
"0.116291811872753","0","Otu000880"
"0.111046423946943","0","Otu000206"
"0.107288341518709","0","Otu000023"
"0.106620570535042","0","Otu000012"
"0.0989401677574228","0","Otu000853"
"0.0963306387975974","0","Otu000683"
"0.0948943123043641","0","Otu000634"
"0.0933916686820402","0","Otu000091"
"0.0913436196399613","0","Otu001128"
"0.0898941253025327","0","Otu000463"
"0.0866226498666783","0","Otu000002"
"0.0836778456613624","0","Otu000010"
"0.0835166898556497","0","Otu000039"
"0.0834725471037105","0","Otu000155"
"0.0825770720245292","0","Otu000138"
"0.0810772465453741","0","Otu000640"
"0.0805001353138785","0","Otu000018"
"0.0780038752375472","0","Otu000270"
"0.0778921625346734","0","Otu001606"
"0.0773547615500172","0","Otu001942"
"0.0767878498805922","0","Otu000001"
"0.0725118180536438","0","Otu000110"
"0.0706337096776946","0","Otu000019"
"0.0699223703846399","0","Otu000204"
"0.0693725535236272","0","Otu001740"
"0.068310323215542","0","Otu000070"
"0.0682346501811562","0","Otu000153"
"0.0672001898306622","0","Otu000117"
"0.0669504819164375","0","Otu000702"
"0.0663604502483942","0","Otu000340"
"0.0649332507003937","0","Otu000067"
"0.0640618443733766","0","Otu001632"
"0.0623907917257681","0","Otu001222"
"0.0615467026352933","0","Otu000720"
"0.0601516007383866","0","Otu000897"
"0.0594838574766834","0","Otu000031"
"0.0587117512758409","0","Otu000148"
"0.0579575364791472","0","Otu000346"
"0.0579060012746388","0","Otu000349"
"0.0571163332204063","0","Otu000978"
"0.0569490086371863","0","Otu000167"
"0.0557646242725861","0","Otu000290"
"0.0537069043658924","0","Otu000165"
"0.0534627698556194","0","Otu000044"
"0.0519078187871252","0","Otu000064"
"0.0516488987941304","0","Otu000038"
"0.0507815150843447","0","Otu000037"
"0.0497696034456547","0","Otu000289"
"0.0480527222993633","0","Otu000127"
"0.047947688846923","0","Otu000040"
"0.047868264222541","0","Otu001953"
"0.0469109260695859","0","Otu000025"
"0.0463297147727275","0","Otu000958"
"0.0460514935807944","0","Otu000579"
"0.0455318324644275","0","Otu001312"
"0.0445979458649463","0","Otu000029"
"0.0440553316300383","0","Otu000304"
"0.0439546098443845","0","Otu000886"
"0.0428090178370017","0","Otu000101"
"0.0427734617666893","0","Otu000901"
"0.0425787825170121","0","Otu000085"
"0.0419018044362676","0","Otu000236"
"0.0416236063009902","0","Otu000375"
"0.0402932697653814","0","Otu000286"
"0.0402062656814651","0","Otu000193"
"0.0394365788923847","0","Otu000875"
"0.0374741498949079","0","Otu000240"
"0.0374374347257016","0","Otu000146"
"0.0371017113836735","0","Otu000188"
"0.0365186664187959","0","Otu000176"
