"ref_no","ref_yes","prediction","disease","model"
0,39,"pred_no","all_adenoma","adn"
0,2,"pred_yes","all_adenoma","adn"
41,0,"pred_no","all_adenoma","adn"
0,0,"pred_yes","all_adenoma","adn"
0,18,"pred_no","SRN","adn"
0,1,"pred_yes","SRN","adn"
19,0,"pred_no","SRN","adn"
0,0,"pred_yes","SRN","adn"
0,17,"pred_no","crc","crc"
0,9,"pred_yes","crc","crc"
25,0,"pred_no","crc","crc"
1,0,"pred_yes","crc","crc"
