"otu","median_IQR","median_MDA","rank"
"Otu000012",0.258612927362098,2.19836850192299,1
"Otu000044",0.243071035412065,2.06453576937985,2
"Otu000006",0.265709096860333,1.98104373649127,3
"Otu000043",0.225443890784061,1.93769279447784,4
"Otu000013",0.210395483085388,1.89983632885271,5
"Otu000146",0.271651254768492,1.85207323066246,6
"Otu000005",0.190193584275832,1.84872252610321,7
"Otu000037",0.177567267690552,1.82604570458616,8
"Otu000015",0.133803360242299,1.8180504165356,9
"Otu000014",0.146910038569214,1.74427513741269,10
"Otu000001",0.112786334075154,1.72597612256236,11
"Otu000058",0.163893928047227,1.71567196496516,12
"Otu000004",0.11753545379632,1.70645817896617,13
"Otu000007",0.131099416167721,1.6804947812379,14
"Otu000059",0.160481591882425,1.67530303305506,15
"Otu000003",0.124880965641563,1.67026352650943,16
"Otu000041",0.145364001740387,1.66728317576809,17
"Otu000016",0.125769975750553,1.66015722858024,18
"Otu000640",0.21135179031213,1.6599273695697,19
"Otu000018",0.145917819467264,1.6521835695164,20
"Otu000009",0.0768487983725652,1.64211412876417,21
"Otu000180",0.156734115617117,1.64007387693912,22
"Otu000040",0.108463159629705,1.60581662732364,23
"Otu000088",0.195030748416848,1.59106703904277,24
"Otu000047",0.138813022239571,1.58817034883713,25
"Otu000002",0.166381371173473,1.56908128029233,26
"Otu000061",0.160266408907613,1.56708085673331,27
"Otu000008",0.164874549323276,1.5613379392041,28
"Otu000010",0.0860084488262212,1.55183103725232,29
"Otu000020",0.109159447125037,1.54951966737855,30
"Otu000036",0.128950326098546,1.54041096529606,31
"Otu000108",0.192040740814367,1.52300015467823,32
"Otu000027",0.193106406014868,1.51491843530768,33
"Otu000026",0.142604221433449,1.50566593457741,34
"Otu000109",0.105502716383332,1.49360197402868,35
"Otu000065",0.0940789762482899,1.49098711672115,36
"Otu000028",0.190634260227829,1.4903720974037,37
"Otu000155",0.169769792328697,1.48759449366906,38
"Otu000092",0.141688996465667,1.47293463787688,39
"Otu001606",0.23604576216088,1.46650622150324,40
"Otu000085",0.118644623047535,1.46426706552476,41
"Otu000048",0.137760453400521,1.46112449683569,42
"Otu000025",0.169543070543242,1.45734540336319,43
"Otu000290",0.146770956709706,1.4543893619663,44
"Otu000177",0.160578897413856,1.43380486401209,45
"Otu000605",0.19939061513167,1.42123180655248,46
"Otu000030",0.12356016899876,1.40659692879025,47
"Otu000194",0.140593393737563,1.38613922707896,48
"Otu000173",0.100712234696143,1.35604316689134,49
"Otu000476",0.220186690110241,1.28033005173762,50
"Otu000831",0.20826702043965,1.27982094789511,51
"Otu000346",0.125491388025806,1.27916978657601,52
"Otu000229",0.296990845514385,1.23364456996031,53
"Otu000251",0.232779493105348,1.23139704257529,54
"Otu000340",0.23140765881938,1.21527743111174,55
"Otu000572",0.157532833839559,1.14574690259431,56
"Otu000911",0.228720761614634,1.09921134964234,57
"Otu000570",0.169709415914128,1.02392254197027,58
"Otu000660",0.280844171525849,0.980320123556572,59
"Otu000446",0.245446132003704,0.939239003751391,60
"Otu001307",0.24248875995646,0.929089392970912,61
