"otu","variable","value"
"Otu000015","run_1",3.40972375257086
"Otu000009","run_1",3.32118868286036
"Otu000003","run_1",3.2880492278309
"Otu000013","run_1",2.53883184102207
"Otu000001","run_1",2.53642320758955
"Otu000040","run_1",2.49147587165599
"Otu000010","run_1",2.14119716003841
"Otu000083","run_1",2.07869406668858
"Otu000018","run_1",1.62614425792592
"Otu000037","run_1",2.0244257779712
"Otu000015","run_2",2.922018409733
"Otu000009","run_2",3.37012167827919
"Otu000003","run_2",2.54654150386316
"Otu000013","run_2",2.48961418972711
"Otu000001","run_2",2.69736969713818
"Otu000040","run_2",2.2480484868123
"Otu000010","run_2",2.39443417199961
"Otu000083","run_2",2.69088319717698
"Otu000018","run_2",2.32924077262325
"Otu000037","run_2",1.88211250803183
"Otu000015","run_3",3.50999138889821
"Otu000009","run_3",3.17294966631114
"Otu000003","run_3",2.86498544738073
"Otu000013","run_3",2.25585467187678
"Otu000001","run_3",2.77423301124252
"Otu000040","run_3",2.12086327408537
"Otu000010","run_3",2.54290870110037
"Otu000083","run_3",1.50641957744167
"Otu000018","run_3",2.3551781236701
"Otu000037","run_3",2.4416161379931
"Otu000015","run_4",3.66011629038383
"Otu000009","run_4",3.16998463374031
"Otu000003","run_4",3.12427613974548
"Otu000013","run_4",2.05827076632132
"Otu000001","run_4",2.45088328345093
"Otu000040","run_4",2.11929717891253
"Otu000010","run_4",2.74475870290958
"Otu000083","run_4",2.23420000477292
"Otu000018","run_4",1.75668371137412
"Otu000037","run_4",2.15845236531206
"Otu000015","run_5",4.11525115458803
"Otu000009","run_5",2.53649470271875
"Otu000003","run_5",2.44796574901596
"Otu000013","run_5",2.63606710477714
"Otu000001","run_5",2.04849169648263
"Otu000040","run_5",2.60966756618775
"Otu000010","run_5",2.76702085415429
"Otu000083","run_5",2.20779589060307
"Otu000018","run_5",2.01592964579003
"Otu000037","run_5",2.04852076388748
"Otu000015","run_6",4.38313884368941
"Otu000009","run_6",3.44666553220361
"Otu000003","run_6",2.90302565926888
"Otu000013","run_6",2.27498034706403
"Otu000001","run_6",2.27116160821699
"Otu000040","run_6",2.64790604219815
"Otu000010","run_6",2.09199251182263
"Otu000083","run_6",1.81354819719344
"Otu000018","run_6",1.98803240190998
