"","AUC","ROC_cv","Sens_cv","Spec_cv"
"best",0.630929791271347,0.716406470132432,0.787087912087912,0.529230769230769
"worse",0.819259962049336,0.616192677514793,0.743296703296703,0.451826923076923
"full",0.648440971707895,NA,NA,NA
