"","lesion_pvalue","crc_pvalue","adn_pvalue","lesion_BH","crc_BH","adn_BH"
"porp",0.000867096646388231,0.00210524537077069,0.308063229907199,0.00520257987832939,0.00842098148308274,0.369675875888638
"fn",0.892979885505748,0.168166829372509,0.187401192001721,0.97415987509718,0.249868256002294,0.249868256002294
"parv",0.000219526345398426,0.00385729282994253,0.0775561667436655,0.00263431614478111,0.0115718784898276,0.132953428703427
"pept",0.0331538831191509,0.020658377241239,1,0.0663077662383017,0.0495801053789737,1
