"","AUC","ROC_cv","Sens_cv","Spec_cv"
"best",0.693627450980392,0.768118867739403,0.98989010989011,0.0732142857142857
"worse",0.879084967320261,0.678776246075353,0.979945054945055,0.068125
"full",0.733785529715762,NA,NA,NA
"full1",0.733785529715762,NA,NA,NA
"full2",0.733785529715762,NA,NA,NA
"full3",0.733785529715762,NA,NA,NA
