"otu","median_IQR","median_MDA","tax_id","rank"
"Otu000196",0.656943157861457,2.90600148211918,"Clostridium_XVIII",1
"Otu000393",0.360470649029965,2.27983462218953,"Flavonifractor",2
"Otu000486",0.456468977100136,2.23644114365805,"Lachnospiraceae_unclassified",3
"Otu000001",0.404238497951019,2.22623060518869,"Bacteroides",4
"Otu000144",0.336225671850578,2.19083622408037,"Blautia",5
"Otu000009",0.443785470509164,2.15880353437174,"Blautia",6
"Otu000240",0.305777130165834,2.03662291347401,"Oscillibacter",7
"Otu000043",0.333769135288077,1.85162418119734,"Ruminococcaceae_unclassified",8
"Otu000375",0.36012443614318,1.77615216222493,"Streptococcus",9
"Otu000030",0.278954088119047,1.73804782256631,"Phascolarctobacterium",10
