"Variable","total_appearance"
"Otu000009",94
"Otu000010",94
"Otu000040",93
"Otu000013",93
"Otu000004",92
"Otu000007",91
"Otu000001",91
"Otu000003",90
"Otu000014",88
"Otu000020",87
"Otu000120",87
"Otu000016",87
"Otu000059",86
"Otu000018",85
"Otu000438",85
"Otu000037",85
"Otu000006",84
"Otu000005",84
"Otu000012",84
"Otu000041",84
"Otu000180",83
"Otu000021",83
"Otu000015",82
"Otu000036",82
"Otu000148",81
"Otu000177",80
"Otu000019",79
"Otu000085",77
"Otu000084",77
"Otu000043",75
"Otu000002",75
"Otu000031",74
"Otu000047",74
"Otu000039",74
"Otu000065",73
"Otu000023",73
"Otu000144",72
"Otu000027",72
"Otu000008",72
"Otu000290",71
"Otu000108",71
"Otu000092",70
"Otu000146",70
"Otu000122",70
"Otu000640",70
"Otu000025",70
"Otu000109",70
"Otu000034",69
"Otu000030",69
"Otu000070",68
"Otu000028",68
"Otu000240",68
"Otu000346",67
"Otu000061",67
"Otu000432",67
"Otu000278",66
"Otu000044",65
"Otu000573",65
"Otu000050",65
"Otu000165",64
"Otu000075",64
"Otu000088",64
"Otu000058",64
"Otu000150",64
"Otu000083",64
"Otu000048",63
"Otu000151",63
"Otu000119",63
"Otu000049",62
"Otu000064",61
"Otu000114",61
"Otu000463",61
"Otu000026",60
"Otu000096",60
"Otu000121",60
"Otu000134",60
"Otu000194",60
"Otu000707",59
"Otu000074",58
"Otu000155",57
"Otu000063",57
"Otu000068",57
"Otu000099",56
"Otu000206",55
"Otu000393",55
"Otu000170",55
"Otu000135",54
"Otu000101",54
"Otu000073",53
"Otu000076",51
"Otu000312",50
"Otu000173",50
"Otu000271",50
"Otu000310",49
"Otu000055",49
"Otu000530",49
"Otu000205",48
"Otu000358",48
"Otu000259",48
"Otu000127",47
"Otu000246",47
"Otu000072",46
"Otu000368",46
"Otu000166",46
"Otu000139",45
"Otu000404",44
"Otu000154",44
"Otu000161",44
"Otu000102",44
"Otu000476",44
"Otu000167",43
"Otu000245",43
"Otu000105",42
"Otu000156",42
"Otu000042",42
"Otu000300",41
"Otu000017",41
"Otu000702",40
"Otu000499",40
"Otu001606",40
"Otu000178",40
"Otu000418",40
"Otu000163",39
"Otu000196",39
"Otu000901",39
"Otu000011",39
"Otu000116",39
"Otu000185",38
"Otu000905",38
"Otu000348",37
"Otu000241",37
"Otu000528",37
"Otu000113",36
"Otu000145",36
"Otu000273",36
"Otu000117",36
"Otu000032",36
"Otu000704",36
"Otu000333",35
"Otu000199",35
"Otu000419",35
"Otu000289",34
"Otu000261",34
"Otu001478",34
"Otu000831",33
"Otu000214",33
"Otu000081",33
"Otu000345",33
"Otu000911",32
"Otu000307",32
"Otu000572",32
"Otu000293",32
"Otu000347",31
"Otu000746",31
"Otu000176",30
"Otu000402",30
"Otu000431",30
"Otu000744",30
"Otu000515",30
"Otu000795",29
"Otu000130",29
"Otu000378",29
"Otu000897",29
"Otu000514",28
"Otu000187",28
"Otu000171",28
"Otu000450",28
"Otu000149",27
"Otu000504",26
"Otu000355",26
"Otu000892",26
"Otu000605",25
"Otu000377",25
"Otu000849",25
"Otu000512",25
"Otu000283",25
"Otu000328",25
"Otu000839",25
"Otu000590",25
"Otu000417",24
"Otu000209",24
"Otu000604",24
"Otu000934",24
"Otu000302",24
"Otu000486",24
"Otu000168",24
"Otu000244",23
"Otu000554",23
"Otu000153",23
"Otu000586",23
"Otu001177",22
"Otu000098",22
"Otu000128",22
"Otu001095",22
"Otu000276",21
"Otu000867",21
"Otu000269",21
"Otu000270",21
"Otu000478",21
"Otu000045",21
"Otu000125",21
"Otu000363",20
"Otu000169",20
"Otu000138",20
"Otu000234",20
"Otu000207",20
"Otu000484",20
"Otu001011",20
"Otu000193",20
"Otu000157",20
"Otu000926",19
"Otu000262",19
"Otu000653",19
"Otu000375",19
"Otu000188",19
"Otu001142",19
"Otu000275",19
"Otu001133",18
"Otu000385",18
"Otu000516",18
"Otu000369",18
"Otu000147",18
"Otu000505",18
"Otu000216",18
"Otu000880",18
"Otu000634",18
"Otu000315",18
"Otu000091",18
"Otu000182",17
"Otu000133",17
"Otu000320",17
"Otu001410",17
"Otu000570",17
"Otu001487",17
"Otu000756",16
"Otu000286",16
"Otu001942",16
"Otu000802",16
"Otu000340",16
"Otu000191",16
"Otu001518",16
"Otu000136",16
"Otu000536",15
"Otu000046",15
"Otu000308",15
"Otu000267",15
"Otu000447",15
"Otu000029",15
"Otu000523",15
"Otu000236",15
"Otu000780",14
"Otu000287",14
"Otu000485",14
"Otu001218",14
"Otu000650",14
"Otu001941",14
"Otu000960",14
"Otu000943",14
"Otu001087",14
"Otu001543",14
"Otu000077",14
"Otu000221",14
"Otu000732",14
"Otu000106",13
"Otu000765",13
"Otu000349",13
"Otu000038",13
"Otu006543",13
"Otu001036",13
"Otu001145",13
"Otu000159",13
"Otu000872",13
"Otu000203",13
"Otu000908",13
"Otu000095",13
"Otu001016",13
"Otu000115",12
"Otu000645",12
"Otu000725",12
"Otu001201",12
"Otu000980",12
"Otu000242",12
"Otu000537",12
"Otu000197",12
"Otu001027",12
"Otu000407",12
"Otu001041",12
"Otu000489",12
"Otu000875",12
"Otu001102",12
"Otu000692",11
"Otu000614",11
"Otu003408",11
"Otu000264",11
"Otu000301",11
"Otu000869",11
"Otu000731",11
"Otu001261",11
"Otu000342",11
"Otu000297",11
"Otu001374",11
"Otu000361",11
"Otu000665",11
"Otu000770",11
"Otu001401",11
"Otu001022",11
"Otu000124",11
"Otu001642",11
"Otu000994",11
"Otu000390",10
"Otu000543",10
"Otu000616",10
"Otu000395",10
"Otu000164",10
"Otu000304",10
"Otu001090",10
"Otu002383",10
"Otu000082",10
"Otu001959",10
"Otu001415",10
"Otu000222",10
"Otu000441",10
"Otu000129",9
"Otu000710",9
"Otu000123",9
"Otu000918",9
"Otu000840",9
"Otu001111",9
"Otu000420",9
"Otu001933",9
"Otu001348",9
"Otu002354",9
"Otu000458",9
"Otu001444",9
"Otu000621",9
"Otu000184",9
"Otu000022",9
"Otu000274",9
"Otu001317",9
"Otu001657",9
"Otu001141",9
"Otu000712",9
"Otu000087",9
"Otu000294",9
"Otu000079",9
"Otu000517",9
"Otu001423",9
"Otu000215",8
"Otu000569",8
"Otu000589",8
"Otu000654",8
"Otu000786",8
"Otu000212",8
"Otu000110",8
"Otu001284",8
"Otu000449",8
"Otu000808",8
"Otu001803",8
"Otu000317",8
"Otu001128",8
"Otu001823",8
"Otu000981",8
"Otu002068",8
"Otu000740",8
"Otu000311",8
"Otu000672",7
"Otu001140",7
"Otu000284",7
"Otu000493",7
"Otu001431",7
"Otu000204",7
"Otu000423",7
"Otu000220",7
"Otu000183",7
"Otu001641",7
"Otu000877",7
"Otu000518",7
"Otu000579",7
"Otu000143",7
"Otu001194",7
"Otu000324",7
"Otu001422",7
"Otu000329",7
"Otu000069",7
"Otu000716",7
"Otu000627",7
"Otu000268",6
"Otu000680",6
"Otu000557",6
"Otu001678",6
"Otu000277",6
"Otu000547",6
"Otu001451",6
"Otu000211",6
"Otu001929",6
"Otu001262",6
"Otu001881",6
"Otu001309",6
"Otu000326",6
"Otu002129",6
"Otu000660",6
"Otu000090",6
"Otu000217",6
"Otu000866",6
"Otu001253",6
"Otu000376",6
"Otu001957",6
"Otu000761",6
"Otu001280",6
"Otu000695",6
"Otu001116",6
"Otu000781",6
"Otu000491",6
"Otu001630",6
"Otu000258",6
"Otu000620",6
"Otu000250",6
"Otu000200",6
"Otu001828",6
"Otu002899",6
"Otu000948",6
"Otu000733",6
