"otu","median_IQR","median_MDA","rank"
"Otu000202",0.379342561663921,3.18838654287944,1
"Otu000037",0.280035311815664,2.27032247791542,2
"Otu000001",0.192847427760799,2.05702852289357,3
"Otu000004",0.248211479438361,2.01751172485244,4
"Otu000005",0.165372402151509,1.98417474367161,5
"Otu000021",0.355253235013631,1.9825250705453,6
"Otu000006",0.263692639254037,1.98142362604546,7
"Otu000026",0.252672372568432,1.94417272430128,8
"Otu000015",0.178336250427254,1.91106443244611,9
"Otu001273",0.310164860616634,1.90497724363666,10
"Otu000116",0.267457578565419,1.87343889721836,11
"Otu000010",0.184330372405184,1.83826894015984,12
"Otu000073",0.222275594014796,1.83785642319544,13
"Otu000085",0.189540477863342,1.83681513976882,14
"Otu000041",0.207647764041154,1.79657405406892,15
"Otu000061",0.203405842895968,1.78678212285929,16
"Otu000013",0.189681979762362,1.7812568066819,17
"Otu000003",0.110680945686903,1.77862916532187,18
"Otu000076",0.192766122689365,1.77802779370014,19
"Otu000059",0.18495982046363,1.72886671830027,20
"Otu000161",0.237971634975337,1.72223142576229,21
"Otu000002",0.180185633828612,1.69069005979808,22
"Otu000058",0.16559499281985,1.68643442420032,23
"Otu000101",0.263330422046114,1.67248778269991,24
"Otu000031",0.168840411517601,1.66903349842565,25
"Otu000442",0.351466571103193,1.66211800843995,26
"Otu000014",0.118877971903228,1.63192032553975,27
"Otu000016",0.134863017169035,1.62756522683252,28
"Otu000012",0.113176857049185,1.62703864644916,29
"Otu000034",0.212768906678879,1.62614683285142,30
"Otu000009",0.082447413171667,1.62436184677629,31
"Otu000020",0.139734746867335,1.6181132906413,32
"Otu000315",0.256408601645941,1.61411382240533,33
"Otu000640",0.126706299068906,1.6123181106509,34
"Otu000290",0.198666040065997,1.56420677338091,35
"Otu000570",0.297390458335707,1.55164671438316,36
"Otu000028",0.174583190787512,1.52824913335933,37
"Otu000036",0.158402445408595,1.5240252481013,38
"Otu000254",0.331036156962557,1.51581350524161,39
"Otu000278",0.137457159187639,1.50423904046945,40
"Otu001307",0.281542173137034,1.50420115075921,41
"Otu000432",0.229402411108588,1.50047698096166,42
"Otu000756",0.279740659039513,1.49329087176235,43
"Otu000083",0.0990680357958709,1.49047226796055,44
"Otu000135",0.179755486365158,1.45817847597528,45
"Otu000149",0.270648129585694,1.39187166492898,46
"Otu000176",0.207351995667036,1.37951089666325,47
"Otu000144",0.149196986168127,1.37435572619213,48
"Otu000605",0.21239343890439,1.36070238015385,49
"Otu000206",0.187975719234334,1.32301601233987,50
"Otu000523",0.294813390087889,1.29881436577586,51
"Otu000168",0.302238924735651,1.28505529807617,52
"Otu000340",0.262874284710745,1.2520339895611,53
"Otu000484",0.22048439927411,1.24006911862029,54
"Otu000420",0.272080972862816,1.20557376691761,55
"Otu000450",0.179366195226768,1.20425068856274,56
"Otu000222",0.212825248923794,1.08246618797477,57
"Otu000140",0.227548653582286,1.00896468294194,58
"Otu000679",0.166773125928259,0.994587529123555,59
