"otu","median_IQR","median_MDA","tax_id","rank"
"Otu000014",0.580758685607704,3.33208617193056,"Clostridiales_unclassified",1
"Otu000120",0.348947300154359,2.28477364096454,"Ruminococcus2",2
"Otu000911",0.450095182626008,2.05172541401239,"Lachnospiraceae_unclassified",3
"Otu000116",0.375478642476362,1.81945538829401,"Bilophila",4
"Otu000312",0.364255968633515,1.76099608840544,"Clostridium_XlVa",5
"Otu000514",0.36120694457369,1.74939390962191,"Lachnospiraceae_unclassified",6
"Otu000378",0.314790724071434,1.5919668635896,"Lachnospiraceae_unclassified",7
"Otu000310",0.34136261157517,1.55626902479478,"Ruminococcaceae_unclassified",8
"Otu000616",0.299830167971711,1.23099727015641,"Ruminococcaceae_unclassified",9
"Otu000357",0.215626810901842,0.539505379600358,"Ruminococcus2",10
