"Variable","total_appearance"
"Otu000061",91
"Otu000148",89
"Otu000040",88
"Otu000026",85
"Otu000438",84
"Otu000065",82
"Otu000241",81
"Otu000145",80
"Otu000135",79
"Otu000063",78
"Otu000573",77
"Otu000031",75
"Otu000221",74
"Otu000117",73
"Otu000432",73
"Otu000011",72
"Otu000139",72
"Otu000127",71
"Otu000154",71
"Otu000159",71
"Otu000015",71
"Otu000007",70
"Otu000050",69
"Otu000202",69
"Otu000169",68
"Otu000132",66
"Otu000043",65
"Otu001273",65
"Otu000605",64
"Otu000049",63
"Otu000028",63
"Otu000278",62
"Otu000037",62
"Otu000018",61
"Otu000476",60
"Otu000281",60
"Otu001457",60
"Otu000125",60
"Otu000101",58
"Otu000017",58
"Otu000308",57
"Otu000006",57
"Otu000016",57
"Otu000072",56
"Otu000025",55
"Otu000147",54
"Otu000196",52
"Otu000223",51
"Otu001036",49
"Otu000075",48
"Otu000013",48
"Otu000528",48
"Otu000206",48
"Otu000128",47
"Otu000023",47
"Otu000120",47
"Otu000059",45
"Otu000083",44
"Otu000199",44
"Otu000019",42
"Otu001471",41
"Otu000096",41
"Otu000108",40
"Otu002082",40
"Otu000262",39
"Otu000064",39
"Otu000269",38
"Otu000119",38
"Otu000014",38
"Otu000146",37
"Otu000412",36
"Otu000198",36
"Otu000092",36
"Otu000047",36
"Otu000173",35
"Otu000259",35
"Otu001682",34
"Otu000640",34
"Otu000020",33
"Otu000593",33
"Otu000251",32
"Otu000571",32
"Otu000180",32
"Otu000242",32
"Otu001022",32
"Otu000087",31
"Otu000157",31
"Otu000001",30
"Otu001606",30
"Otu000653",29
"Otu000030",29
"Otu000375",29
"Otu002070",29
"Otu000004",29
"Otu000905",28
"Otu000177",28
"Otu000068",28
"Otu000044",28
"Otu000114",28
"Otu000121",28
"Otu000271",28
"Otu001780",27
"Otu000161",27
"Otu000178",27
"Otu000312",27
"Otu000287",26
"Otu001422",26
"Otu000340",26
"Otu000484",25
"Otu000010",25
"Otu000463",25
"Otu000765",25
"Otu000070",24
"Otu001658",24
"Otu000404",24
"Otu000045",24
"Otu000234",24
"Otu000431",23
"Otu000499",23
"Otu000150",23
"Otu000300",23
"Otu000055",23
"Otu000244",23
"Otu000290",23
"Otu000704",23
"Otu000918",22
"Otu000485",22
"Otu000041",22
"Otu000005",22
"Otu000058",22
"Otu000209",21
"Otu000532",20
"Otu000042",20
"Otu000039",20
"Otu000099",20
"Otu000165",19
"Otu000084",19
"Otu000073",19
"Otu000144",19
"Otu000289",19
"Otu000264",19
"Otu000172",19
"Otu000307",19
