"","chemo_rad_mean","removal_only_mean","cr_sd","ro_sd","pvalue","bh"
"sobs",-5.14757142857144,-32.9885833333333,93.5839301102445,111.187464351026,0.494013274382099,1
"shannon",0.227029928571429,0.2557225,0.546202910314961,0.728021199192029,0.742446338155047,1
"even",0.0378033571428571,0.0602158333333333,0.0770043724878481,0.102142705386171,1,1
"dist",0.8446615,0.71520875,0.105509573193621,0.164572734720783,0.0595955558776934,0.297977779388467
"red_crc",0.117607142857143,0.1035,0.207268886916287,0.133630766734992,0.836968250051582,1
"chemo_v_rads_red",NA,NA,NA,NA,0.18981018981019,NA
