"Variable","median_mda","iqr25","iqr75"
"Otu000061",0.562136595260784,0.180395877149167,0.913181100843388
"Otu000040",0.394792042707631,0.142049854791223,0.610873979936269
"Otu000438",0.290002536268146,0.116080567255852,0.493368064895072
"Otu000145",0.278578189975565,0.103307452835901,0.488332176858447
"Otu000026",0.268226061840736,0.132137578921896,0.456111711061061
"Otu000148",0.238391523867049,0.111137079108956,0.409602289812052
"Otu000063",0.22133675337258,0.0817613328686277,0.340672170805031
"Otu000065",0.196126754686782,0.0880992221701063,0.319320807837087
"Otu000241",0.194884990196136,0.117044530287034,0.397373305428312
"Otu000221",0.184909781309162,0.0703356449584897,0.368703694382315
"Otu000135",0.171309508900443,0.0898643684746626,0.288748886548979
"Otu000117",0.158749999176894,0.0711376698014629,0.336244578409773
"Otu000127",0.158279206805268,0.058737210331287,0.279560125522666
"Otu000169",0.152594682738844,0.0536428571428572,0.296126052454376
"Otu000011",0.152027189092673,0.059593628536686,0.270762214393793
"Otu000573",0.146405280463368,0.0769494047619048,0.258547995178587
"Otu000432",0.139504485082074,0.0699411518993562,0.212509307686923
"Otu000031",0.134056971236538,0.0685843091925215,0.194182338005132
"Otu000139",0.128734651429394,0.0563528138528139,0.210971244986267
"Otu000050",0.126884587256104,0.0504661654135338,0.237030878140451
"Otu000007",0.123524495758269,0.061027616655914,0.194882492620069
"Otu000015",0.116568185436568,0.0616304528804529,0.178351975540698
"Otu000043",0.116223219904035,0.0433987703118138,0.22041964848447
"Otu000154",0.116082574832575,0.0681721056721057,0.189071207070893
"Otu001273",0.112005313765182,0.0530629646984768,0.207498988585311
"Otu000049",0.106119845929903,0.0418087121212121,0.174658243805497
"Otu000278",0.105840909090909,0.0405089514066496,0.194125733444817
"Otu000072",0.104824556165754,0.0351112992610838,0.16948489413812
"Otu000101",0.103494250331712,0.0416428571428572,0.165585648760707
"Otu000202",0.102927691726079,0.067321543040293,0.175185596822918
"Otu000017",0.10207528403888,0.0508052884615385,0.194233073395902
"Otu000018",0.0994028643715551,0.0386904761904762,0.143612356941304
"Otu000159",0.0987327935222672,0.0625595238095238,0.195182029979824
"Otu000605",0.0984440197483676,0.0611191230246833,0.184117002442002
"Otu000037",0.0984416285468917,0.0401751797897843,0.172006214382556
"Otu000028",0.0977267604606347,0.0497746597272459,0.180978875140692
"Otu000016",0.0969855210400782,0.0411810224089636,0.158208325289833
"Otu001457",0.0960229469791617,0.0408943687891056,0.165071004594128
"Otu000281",0.0956560705090117,0.0356161616161616,0.205468134204976
"Otu000132",0.0924153971028971,0.0532142857142857,0.203957545985603
"Otu000125",0.0907383157383158,0.0266720756024162,0.141811687364126
"Otu000476",0.0905981489099136,0.0398222829801777,0.138392792600154
"Otu000196",0.0868695565221053,0.0327777777777778,0.136300366300366
