"","surg_mean","no_surg_mean","surg_sd","no_surg_sd","pvalue","bh"
"sobs",113.751375,-35.3113636363636,138.939690455903,115.041348930998,0.00556347214959312,0.0278173607479656
"shannon",0.594107,-0.137688878787879,0.888088189976809,0.427296458877554,0.0450424180998824,0.112606045249706
"even",0.057576,-0.00877363636363637,0.120613569430878,0.0478016066478276,0.104303286784598,0.173838811307663
"dist",0.655619625,0.579232636363636,0.224011853641682,0.237361053744714,0.408859817362422,0.446892038676378
"red_adn",0.0363125,-0.0134242424242424,0.127331103118714,0.0854804547480849,0.446892038676378,0.446892038676378
"prop_surg_adn_srn",NA,NA,NA,NA,1,NA
