"Variable","median_mda","iqr25","iqr75","tax_ID"
"Otu000015",1.24237351710224,0.921295740057537,2.26521056597297,"Lachnospiraceae"
"Otu000012",1.13648245021268,0.871212979681383,1.45033056106824,"Clostridiales"
"Otu000605",0.815104902459998,0.573797759321591,1.21591087087378,"Blautia"
"Otu000006",0.784362244463673,0.594495063104012,0.997816130868254,"Bacteroides"
"Otu000229",0.766379606485576,0.495440000379583,1.54637492403777,"Odoribacter"
"Otu000061",0.738359730097103,0.568571057129224,0.964139356826881,"Ruminococcaceae"
"Otu000393",0.733336028023778,0.521717053676832,0.906080624748049,"Flavonifractor"
"Otu000005",0.722535973900722,0.624835367484264,0.910508727221885,"Bacteroides"
"Otu000146",0.715577252885401,0.530097463339567,0.929753903677929,"Roseburia"
"Otu000018",0.690913470014547,0.589715630617512,0.822289898073405,"Escherichia/Shigella"
"Otu000251",0.687059335731299,0.445195222991523,0.881507044678207,"Ruminococcaceae"
"Otu000044",0.659265189201817,0.533562553033796,0.893715259331905,"Clostridium XlVa"
"Otu000058",0.649980105731271,0.430073034844801,0.840753523754276,"Lachnospiraceae"
"Otu000155",0.648480867348313,0.451874652979633,0.83725736919354,"Roseburia"
"Otu000004",0.632042360194083,0.529328674891336,0.769748911370851,"Anaerostipes"
"Otu000013",0.631340054378893,0.524102435890242,0.762357830573869,"Blautia"
"Otu000009",0.624254182759441,0.520590537078316,0.72793419757614,"Blautia"
"Otu000037",0.604141053624755,0.484888986078729,0.725227453708658,"Streptococcus"
"Otu000014",0.599413743311263,0.50531814568323,0.739159523672606,"Clostridiales"
"Otu000040",0.597853084363467,0.496678010845129,0.72700275057013,"Blautia"
"Otu000025",0.582423577532972,0.450043837776615,0.746053953569239,"Lachnospiraceae"
"Otu000088",0.545284274670246,0.436824203739759,0.706129991986015,"Ruminococcus"
"Otu000002",0.543206332589999,0.435105359174909,0.714932617565493,"Anaerostipes"
"Otu000148",0.532366378725131,0.408010306898914,0.694253382398879,"Ruminococcaceae"
"Otu000180",0.531188839503812,0.439402166824019,0.619780514212272,"Clostridiales"
"Otu000010",0.506225685066959,0.44137592668002,0.573848312371928,"Roseburia"
"Otu001606",0.499386363109003,0.360646621727032,0.677225806534496,"Lachnospiraceae"
"Otu000290",0.491661136723263,0.372434980382225,0.654044560562301,"Clostridium IV"
"Otu000028",0.485360482209902,0.390329205237468,0.645273446021494,"Ruminococcus"
"Otu000007",0.47661971815965,0.407474124358504,0.546569103412069,"Faecalibacterium"
"Otu000008",0.472854603322603,0.379923625677381,0.595632634363067,"Bifidobacterium"
