"chemo_pvalues","chemo_adjust_pvalues","Tax_ID","otus"
"0.267061515681787","1","Porphyromonas","Otu000126"
"1","1","Peptostreptococcus","Otu000566"
"0.0471799703863238","0.188719881545295","Parvimonas","Otu000397"
"0.247516489433302","0.990065957733208","Fusobacterium","Otu000205"
