"","ThreeGroupALL","ThreeGroupSELECT","SRNlesionALL","SRNlesionSELECT","lesionALL"
"ThreeGroupSELECT",1,NA,NA,NA,NA
"SRNlesionALL",0.203577322169934,0.00398399875961032,NA,NA,NA
"SRNlesionSELECT",0.498771353086962,0.0139796619150742,1,NA,NA
"lesionALL",1,0.106080416623347,1,1,NA
"lesionSELECT",0.571731502873909,0.0167337018615037,1,1,1
