"","Otu000012","Otu000005","Otu000030","Otu000004","Otu000008","Otu000018","Otu000002","Otu000082","Otu000027","Otu000124","Otu000020"
"2003650",0.0224313278205494,0.0266134397870925,0.00370687197034502,0.0195798878433609,0.0347875677216995,0.000665335994677312,0.0100750879193993,0.000855431993156544,0.00684345594525235,0.000570287995437696,0.0149225358806197
"2005650",0.00703355194373158,0.130690998954472,0.000760383993916928,0.0658682634730539,0.0197699838418401,0.000665335994677312,0.0195798878433609,9.5047999239616e-05,0.000760383993916928,0.00361182397110541,0.0119760479041916
"2007660",0.0301302157589583,0.0787947913696417,0.0108354719133162,0.0141621518867028,0.00399201596806387,0.0053226879574185,0.0742324874061401,0.000760383993916928,0.0089345119285239,0.000285143997718848,0.0023761999809904
"2013660",0.000760383993916928,0.0179640718562874,0.00142571998859424,0.000570287995437696,0,0.00047523999619808,0.0671038874631689,0.000285143997718848,9.5047999239616e-05,0.00266134397870925,0.0109305199125558
"2015650",0.0151126318790989,0.0697652314418781,0.0105503279155974,0.0322212717422298,0.0204353198365174,0.000190095998479232,0.020055127839559,0.00209105598327155,0.0169185438646517,0.00304153597566771,0.00370687197034502
"2019651",0.0156829198745366,0.0134968158920255,0.00209105598327155,0.00959984792320122,0.00921965592624275,0,0.0642524474859804,0.000380191996958464,0.00152076798783386,0.00123562399011501,0.0107404239140766
"2023680",0.00142571998859424,0.0944777112441783,0,0.0217659918258721,0.00123562399011501,0.000380191996958464,0.0311757437505941,0,0.00323163197414694,0.000380191996958464,0.00646326394829389
"2027653",0.0286094477711244,0,0.00750879193992966,0.00855431993156544,0.027468871780249,0,0.028229255774166,0.000760383993916928,0.0590248075278015,0.0158730158730159,0.0137819598897443
"2033650",0.00408706396730349,0.0378291036973672,0.00399201596806387,0.0204353198365174,0.0173937838608497,0,0.00807907993536736,0.00047523999619808,0.00513259195893926,0.000760383993916928,0.0121661439026708
"2039650",0.00427715996578272,0.0361182397110541,0.0132116718943066,0.0447676076418591,0.0065583119475335,0.000570287995437696,0.00959984792320122,0.00228115198175078,0.0107404239140766,0.00332667997338656,0.0195798878433609
