"","adenoma","carcinoma"
"model_compare_i",0.00178408850051884,0.465403182549616
"model_compare_f",0.0201225008502198,0.36782416326472
"wfit_if",1,3.51612333105218e-06
"wofit_if",1,0.0107461311413052
