"variables","variable","value"
"Otu000001","run_1",0.847785453073279
"Otu000002","run_1",0.141884529012638
"Otu000003","run_1",0.154128260451242
"Otu000004","run_1",0.176839897438649
"Otu000005","run_1",0.195675393775498
"Otu000006","run_1",0.29286088532428
"Otu000007","run_1",0.12254875844532
"Otu000008","run_1",0.170431017749541
"Otu000009","run_1",0.157730708890308
"Otu000010","run_1",0.266927067540826
"Otu000013","run_1",0.127409998361106
"Otu000014","run_1",0.202073724783672
"Otu000015","run_1",0.179928723619407
"Otu000016","run_1",0.261510097256781
"Otu000017","run_1",0.360765040219247
"Otu000018","run_1",0.407658558684558
"Otu000019","run_1",0.148340915640903
"Otu000020","run_1",0.152858421468201
"Otu000023","run_1",0.176869596045334
"Otu000025","run_1",0.201330470575945
"Otu000026","run_1",0.328365816268613
"Otu000028","run_1",0.659570999999366
"Otu000030","run_1",0.122311961743608
"Otu000031","run_1",0.203504942191216
"Otu000034","run_1",0.147401385479572
"Otu000037","run_1",0.526395807326043
"Otu000039","run_1",0.119576050574128
"Otu000040","run_1",0.407553526271445
"Otu000041","run_1",0.179086642319288
"Otu000042","run_1",0.158841963949252
"Otu000043","run_1",0.164243003481777
"Otu000047","run_1",0.160630608942008
"Otu000049","run_1",0.319514594942876
"Otu000050","run_1",0.129545658452496
"Otu000058","run_1",0.103347596759894
"Otu000059","run_1",0.185434332333088
"Otu000061","run_1",0.331010018565092
"Otu000063","run_1",0.788982870587448
"Otu000065","run_1",0.238783254537216
"Otu000068","run_1",0.132367242304488
"Otu000084","run_1",0.211593536487473
"Otu000085","run_1",0.105575089384007
"Otu000101","run_1",0.430396092971834
"Otu000108","run_1",0.193767675405919
"Otu000109","run_1",0.120094843033513
"Otu000117","run_1",0.38354797634896
"Otu000119","run_1",0.182187728369807
"Otu000120","run_1",0.176800535472872
"Otu000127","run_1",0.0870978445158114
"Otu000135","run_1",0.167197843920248
"Otu000145","run_1",0.658853402474373
"Otu000147","run_1",0.0918982244609551
"Otu000148","run_1",0.383465218075402
"Otu000150","run_1",0.10390077454092
"Otu000154","run_1",0.212899238870474
"Otu000165","run_1",0.112796238257074
"Otu000167","run_1",0.205636399423826
"Otu000169","run_1",0.317743507199913
"Otu000177","run_1",0.455701189816948
"Otu000178","run_1",0.177297085461187
"Otu000180","run_1",0.13925535226139
"Otu000194","run_1",0.115340352866332
"Otu000240","run_1",0.0896812200560902
"Otu000241","run_1",0.304700611845041
"Otu000278","run_1",0.641256233250796
"Otu000308","run_1",0.30692055129136
"Otu000438","run_1",0.462673452782315
"Otu000476","run_1",0.209405531546291
