"imp_variable","model"
"fit_result","wfit"
"Otu000153","wfit"
"Otu000060","wfit"
"Otu000220","wfit"
"Otu000414","wfit"
"Otu000653","wfit"
"Otu000589","wfit"
"Otu000150","wfit"
"Otu000020","wfit"
"Otu000259","wfit"
"Otu000593","wfit"
"Otu000007","wfit"
"Otu000372","wfit"
"Otu000242","wfit"
"Otu000036","wfit"
"Otu000320","wfit"
"Otu000042","wfit"
"Otu000009","wfit"
"Otu000226","wfit"
"Otu000129","wfit"
"Otu000015","wfit"
"Otu000629","wfit"
"Otu000004","wfit"
"Otu000095","wfit"
"Otu000249","wfit"
"Otu000359","wfit"
"Otu000172","wfit"
"Otu000034","wfit"
"Otu000089","wfit"
"Otu000013","wfit"
"Otu000231","wfit"
"Otu000494","wfit"
"Otu000038","wfit"
"Otu000413","wfit"
"Otu000153","wofit"
"Otu000653","wofit"
"Otu000020","wofit"
"Otu000413","wofit"
"Otu000460","wofit"
"Otu000096","wofit"
"Otu000359","wofit"
"Otu000263","wofit"
"Otu000400","wofit"
"Otu000027","wofit"
"Otu000495","wofit"
"Otu000226","wofit"
"Otu000005","wofit"
"Otu000604","wofit"
"Otu000108","wofit"
"Otu001119","wofit"
"Otu000017","wofit"
"Otu000306","wofit"
"Otu000129","wofit"
"Otu000060","wofit"
"Otu000009","wofit"
"Otu000003","wofit"
"Otu000117","wofit"
"Otu000150","wofit"
"Otu000113","wofit"
"Otu000320","wofit"
"Otu000161","wofit"
"Otu000155","wofit"
"Otu000013","wofit"
"Otu000318","wofit"
"Otu000411","wofit"
"Otu000140","wofit"
"Otu000224","wofit"
"Otu000006","wofit"
"Otu000176","wofit"
"Otu000115","wofit"
"Otu000082","wofit"
"Otu000589","wofit"
"Otu000227","wofit"
"Otu000035","wofit"
"Otu000220","wofit"
"Otu000385","wofit"
"Otu001212","wofit"
"Otu000344","wofit"
"Otu000015","wofit"
"Otu000012","wofit"
"Otu000004","wofit"
"Otu000394","wofit"
"Otu000632","wofit"
"Otu000372","wofit"
"Otu000196","wofit"
"Otu000169","wofit"
"Otu000573","wofit"
"Otu000259","wofit"
"Otu000461","wofit"
"Otu000397","wofit"
"Otu000813","wofit"
"Otu000256","wofit"
"Otu000593","wofit"
"Otu000378","wofit"
"Otu000120","wofit"
"Otu000639","wofit"
"Otu000007","wofit"
