"mean_MDA","sd_MDA","variable"
"1.46525450922617","1.23601129821723","fit_result"
"1.45717817049452","1.42741405654996","Otu000035"
"1.06719153714398","0.753674784924224","Otu000012"
"0.829325461221732","0.814834441628354","Otu000149"
"0.791695713939753","0.806779749300287","Otu000058"
"0.66694722989897","0.550301204297953","Otu000005"
"0.632695952363187","0.49505379784103","Otu000030"
"0.419671896221827","0.32899506710861","Otu000386"
"0.410816340980988","0.241684095912158","Otu000004"
"0.390010213341222","0.263703951191318","Otu000084"
"0.387937498055149","0.211596619265902","Otu000050"
"0.360072471937745","0.317433306344765","Otu000314"
"0.346026134812782","0.18102042007529","Otu000114"
"0.344071512374215","0.22770430764688","Otu000087"
"0.329427436168281","0.152255241763229","Otu000033"
"0.329088297452898","0.225625078005488","Otu000079"
"0.296624886114102","0.160858565572696","Otu000025"
"0.29576620940793","0.181551568869867","Otu000069"
"0.295360925379744","0.182397772141075","Otu000082"
"0.288961323391575","0.173987225571341","Otu000101"
"0.270937405644038","0.0904737107856241","Otu000008"
"0.267322878983263","0.111423533473535","Otu000018"
"0.260563951070096","0.0782392232332497","Otu000002"
"0.256034839252746","0.107419457213916","Otu000042"
"0.251212659604519","0.0685093051978345","Otu000027"
"0.247543408040687","0.112064667010894","Otu000028"
"0.24255314776655","0.132167869586734","Otu000124"
"0.239386547771987","0.0744500448875805","Otu000057"
"0.231738870426599","0.0727368730475159","Otu000009"
"0.2228213512662","0.0839928092967868","Otu000020"
"0.221203921123158","0.0483974509704296","Otu000023"
"0.220061026295041","0.0708533785996716","Otu000003"
"0.203702738617251","0.0601531304249667","Otu000006"
