"","wilcox_pvalue","benjamini_hochberg"
"Otu000227",0.00667395608406833,0.420459233296305
"Otu000224",0.0278031935644825,0.470110817092823
"Otu000344",0.0366704341878885,0.470110817092823
"Otu000005",0.0390330086732923,0.470110817092823
"Otu000573",0.0426476090209725,0.470110817092823
"Otu000013",0.0463403015865875,0.470110817092823
"Otu000653",0.0595456635502647,0.470110817092823
"Otu000413",0.0618838639541866,0.470110817092823
"Otu000320",0.0671586881561175,0.470110817092823
"Otu000639",0.0835519766307704,0.526377452773854
"Otu000226",0.0991795812781917,0.530195101539735
"Otu000007",0.102174464437829,0.530195101539735
"Otu000813",0.119799318017162,0.530195101539735
"Otu000495",0.1291124932974,0.530195101539735
"Otu000161",0.131895234944953,0.530195101539735
"Otu000150",0.134652724200568,0.530195101539735
"Otu000400",0.157238110441981,0.582705938696752
"Otu000411",0.173235627386816,0.606324695853855
"Otu000220",0.199298070846113,0.660830445437113
"Otu000060",0.226491661898295,0.713448734979628
"Otu000256",0.267693405402944,0.732731607671587
"Otu000020",0.277573145274985,0.732731607671587
"Otu000003",0.277649861814147,0.732731607671587
"Otu000027",0.288303979576041,0.732731607671587
"Otu000153",0.29146120944748,0.732731607671587
"Otu000115",0.324113624199506,0.732731607671587
"Otu000385",0.362723502431539,0.732731607671587
"Otu000589",0.366810797618472,0.732731607671587
"Otu000460",0.368103217173472,0.732731607671587
"Otu000120",0.372232597798893,0.732731607671587
"Otu000372",0.37391618684797,0.732731607671587
"Otu000196",0.383648463637345,0.732731607671587
"Otu000012",0.383811794494641,0.732731607671587
"Otu000082",0.40326458186737,0.747225548754245
"Otu000378",0.430108278131264,0.762151898627226
"Otu000318",0.435515370644129,0.762151898627226
"Otu000108",0.455960150564154,0.772960357363287
"Otu000155",0.4662300568223,0.772960357363287
"Otu000593",0.481602462260121,0.77619168620075
"Otu000604",0.501082321954606,0.77619168620075
"Otu000096",0.53957356185607,0.77619168620075
"Otu000461",0.545200573848589,0.77619168620075
"Otu000306",0.561109477428621,0.77619168620075
"Otu000009",0.566890363878606,0.77619168620075
"Otu000017",0.574997115638205,0.77619168620075
"Otu000176",0.586403607223568,0.77619168620075
"Otu001212",0.589231246214345,0.77619168620075
"Otu000004",0.591384141867238,0.77619168620075
"Otu000015",0.607626674028068,0.781234295178944
"Otu000259",0.650890819965567,0.812097167377541
"Otu000394",0.657411992638962,0.812097167377541
"Otu000359",0.715726101100019,0.867129699409639
"Otu000140",0.743495518963964,0.867815954451608
"Otu000035",0.756323974851589,0.867815954451608
"Otu000117",0.757617103092674,0.867815954451608
"Otu000129",0.80954106611509,0.910733699379476
"Otu000632",0.827011594246493,0.91406544627244
"Otu000169",0.864153489746556,0.938649480241948
"Otu000263",0.900886366502963,0.961963408299774
"Otu000006",0.952434626965199,0.986861375016884
"Otu000397",0.968883862269416,0.986861375016884
"Otu000113",0.971196908746775,0.986861375016884
"Otu001119",1,1
