"variables","variable","value"
"Otu000004","run_4",3.89778007870688
"Otu000037","run_4",3.81322104303519
"Otu000001","run_4",3.48100866348545
"Otu000014","run_4",3.91499047870387
"Otu000002","run_4",3.39252129019923
"Otu000009","run_4",3.21933054387303
"Otu000012","run_4",3.77221839437817
"Otu000018","run_4",3.18155259217734
"Otu000013","run_4",3.83337844124773
"Otu000041","run_4",3.17979960887229
"Otu000026","run_4",2.92623784211919
"Otu000036","run_4",3.45435217416854
"Otu000059","run_4",2.94060029767563
"Otu000003","run_4",3.4889872878779
"Otu000020","run_4",3.47078516256819
"Otu000010","run_4",3.39285389759121
"Otu000007","run_4",3.36918768112209
"Otu000085","run_4",3.16714366841969
"Otu000290","run_4",2.81430663159798
"Otu000040","run_4",3.26864912697391
"Otu000155","run_4",3.2668528998577
"Otu000021","run_4",3.11412590072461
"Otu000393","run_4",2.34642118137219
"Otu000634","run_4",2.47048464320834
"Otu000016","run_4",3.25196421630891
"Otu000109","run_4",3.14350386582278
"Otu000044","run_4",3.05786342488635
"Otu000148","run_4",3.10954702398338
"Otu000146","run_4",3.4699576650067
"Otu000083","run_4",2.77247162587658
"Otu000108","run_4",2.83433254467472
"Otu000084","run_4",3.12640256480127
"Otu000028","run_4",2.81268733037119
"Otu000180","run_4",2.97786712021492
"Otu000088","run_4",2.77737304736526
"Otu000025","run_4",2.9373157200207
"Otu000315","run_4",2.81575601661605
"Otu000167","run_4",2.53591630133017
"Otu000605","run_4",3.0307329172209
"Otu000196","run_4",2.43925070126989
"Otu000202","run_4",2.2517546541824
"Otu000348","run_4",1.93815935021732
"Otu000199","run_4",2.11708684023739
"Otu000140","run_4",2.22272867192529
"Otu002106","run_4",1.74359236382319
"Otu000654","run_4",1.48829543287499
"Otu000209","run_4",1.84629799330203
"Otu001307","run_4",1.65954180122494
"Otu000808","run_4",1.83304940350851
"Otu000061","run_5",4.1324044687662
"Otu000058","run_5",3.50092387481944
"Otu000006","run_5",3.81113746410323
"Otu000015","run_5",7.08586712615215
"Otu000005","run_5",3.71443854988058
"Otu000004","run_5",3.17884407812502
"Otu000037","run_5",3.48620800222035
"Otu000001","run_5",3.56591347909931
"Otu000014","run_5",3.2535418374488
"Otu000002","run_5",3.24110515350534
"Otu000009","run_5",2.38262335951866
"Otu000012","run_5",3.79921841149305
"Otu000018","run_5",3.36256956373004
"Otu000013","run_5",2.78253768859285
"Otu000041","run_5",2.44274699621151
"Otu000026","run_5",2.72736515206797
"Otu000036","run_5",2.2527652073827
"Otu000059","run_5",2.55852764725731
"Otu000003","run_5",2.82483783598673
"Otu000020","run_5",2.44490280428428
"Otu000010","run_5",3.65787245494231
"Otu000007","run_5",3.24922488975026
"Otu000085","run_5",2.81316355629502
"Otu000290","run_5",3.2877138029163
"Otu000040","run_5",2.50823907659775
"Otu000155","run_5",2.435914575028
"Otu000021","run_5",2.86752771877711
"Otu000393","run_5",2.37486668007705
"Otu000634","run_5",2.32438949168862
"Otu000016","run_5",1.99293102153038
"Otu000109","run_5",2.66526843110336
"Otu000044","run_5",3.51941971290715
"Otu000148","run_5",2.15171726910038
"Otu000146","run_5",2.7369268737643
"Otu000083","run_5",2.40579833456714
"Otu000108","run_5",2.7156291029502
"Otu000084","run_5",2.79088837662019
"Otu000028","run_5",2.59744284191954
"Otu000180","run_5",2.61462962227397
"Otu000088","run_5",2.882741455024
"Otu000025","run_5",2.04625544833829
"Otu000315","run_5",5.04875067455278
"Otu000167","run_5",2.17097694463114
"Otu000605","run_5",2.08297029285886
"Otu000196","run_5",1.50700957287104
"Otu000202","run_5",3.3314784693686
"Otu000348","run_5",2.38617611940105
"Otu000199","run_5",2.15297184165492
"Otu000140","run_5",4.39015826168159
"Otu002106","run_5",3.63115144906155
"Otu000654","run_5",2.54416588859207
"Otu000209","run_5",1.10819680181932
"Otu001307","run_5",6.17080889140435
"Otu000808","run_5",3.4843459452565
"Otu000061","run_6",4.18646401957461
"Otu000058","run_6",3.41392787020533
"Otu000006","run_6",3.67041908708201
"Otu000015","run_6",4.26784909376113
"Otu000005","run_6",3.7273547512918
"Otu000004","run_6",3.66515029711584
"Otu000037","run_6",3.52275188065202
"Otu000001","run_6",3.89219523887565
"Otu000014","run_6",3.54261740692448
"Otu000002","run_6",3.22865521576366
"Otu000009","run_6",3.56236449032412
"Otu000012","run_6",3.45379930047897
"Otu000018","run_6",3.52264165951164
"Otu000013","run_6",3.51381536406932
"Otu000041","run_6",2.84972095675098
"Otu000026","run_6",3.14840711779094
"Otu000036","run_6",3.01565331707837
"Otu000059","run_6",3.10507134757566
"Otu000003","run_6",3.45922249615221
