,AUC,ROC_cv,Sens_cv,Spec_cv
best,0.646358543,0.795150106,0.568983516,0.798115385
middle,0.744397759,0.760868005,0.477664835,0.813146154
worse,0.903594771,0.723091209,0.373241758,0.809546154
full,0.763063112,NA,NA,NA
