"","mean_thetayc_change","mean_days","sd_thetayc_change","sd_days"
"adenoma",0.574378,252.975609756098,0.231774220588486,41.326436941066
"carcinoma",0.752031692307692,350.846153846154,0.163255812456836,101.704549478454
