"Variable","total_appearance"
"fit_result",100
"Otu000035",100
"Otu000012",100
"Otu000005",98
"Otu000030",96
"Otu000004",93
"Otu000050",92
"Otu000058",91
"Otu000084",87
"Otu000149",86
"Otu000002",79
"Otu000018",78
"Otu000087",78
"Otu000025",76
"Otu000042",76
"Otu000101",76
"Otu000114",75
"Otu000057",75
"Otu000033",74
"Otu000008",69
"Otu000314",65
"Otu000020",64
"Otu000386",62
"Otu000024",59
"Otu000124",59
"Otu000027",59
"Otu000003",57
"Otu000374",56
"Otu000460",54
"Otu000069",54
"Otu000397",54
"Otu000082",53
"Otu000076",51
"Otu000229",51
