"","wilcox_pvalue","benjamini_hochberg"
"Otu000013",0.00524025006370489,0.172928252102261
"Otu000007",0.0191792529696359,0.316457673998992
"Otu000494",0.0403685023797408,0.425444387235795
"Otu000231",0.0642370438632201,0.425444387235795
"Otu000150",0.0677636747224989,0.425444387235795
"Otu000226",0.0773535249519627,0.425444387235795
"Otu000320",0.093260367429957,0.439175614524235
"Otu000009",0.106466815642239,0.439175614524235
"Otu000129",0.141492418800959,0.482035106007843
"Otu000095",0.146071244244801,0.482035106007843
"Otu000042",0.283594878483349,0.743673369230282
"Otu000015",0.295430192226704,0.743673369230282
"Otu000036",0.320579688179751,0.743673369230282
"Otu000034",0.327402944169302,0.743673369230282
"Otu000153",0.351005542991233,0.743673369230282
"Otu000249",0.36056890629347,0.743673369230282
"Otu000589",0.425240344617745,0.75047873280949
"Otu000653",0.443152371235922,0.75047873280949
"Otu000629",0.463887281737593,0.75047873280949
"Otu000038",0.48284094540983,0.75047873280949
"Otu000004",0.483138048503048,0.75047873280949
"Otu000020",0.516690568612685,0.75047873280949
"Otu000220",0.523060934988433,0.75047873280949
"Otu000172",0.636311866987506,0.857318373697301
"Otu000372",0.697334845654193,0.857318373697301
"Otu000060",0.700117302636916,0.857318373697301
"Otu000089",0.709058768601307,0.857318373697301
"Otu000414",0.739281168346188,0.857318373697301
"Otu000359",0.753400995067325,0.857318373697301
"Otu000593",0.841739922254931,0.925913914480424
"Otu000242",0.877274263491812,0.933872603071929
"Otu000259",0.989176987355448,1
"Otu000413",1,1
