"Disease","LM_WF_pvalues","WF_padjust","LM_WoF_pvalues","WoF_padjust"
"Cancer","1.42377135172299e-07","4.27131405516896e-07","1.37569595543103e-07","4.12708786629309e-07"
"advAdenoma","0.0918357734820473","0.275507320446142","0.247527282566214","0.742581847698643"
"Adenoma","0.0133759004045331","0.0401277012135993","0.155077281566221","0.465231844698663"
