"Variable","total_appearance"
"fit_result",100
"Otu000012",100
"Otu000028",100
"Otu000015",100
"Otu000005",99
"Otu000061",98
"Otu000251",98
"Otu000018",97
"Otu000037",96
"Otu000605",93
"Otu000009",93
"Otu001307",92
"Otu000006",91
"Otu000041",90
"Otu000229",90
"Otu000238",89
"Otu000030",88
"Otu000044",88
"Otu000404",87
"Otu000167",87
"Otu000004",84
"Otu002106",84
"Otu000084",84
"Otu000140",84
"Otu000219",82
"Otu000349",82
"Otu000700",80
"Otu001242",78
"Otu001606",78
"Otu000014",77
"Otu000002",77
"Otu000013",76
"Otu000432",72
"Otu000088",70
"Otu000021",70
"Otu000155",69
"Otu000075",66
"Otu000254",64
"Otu000486",63
"Otu000449",63
"Otu000116",63
"Otu000911",59
"Otu000740",59
"Otu000008",59
"Otu000025",59
"Otu000097",59
"Otu000202",58
"Otu000800",57
"Otu000393",56
"Otu000042",54
"Otu000001",53
"Otu000290",53
"Otu000177",51
