"","adn_mean","adn_SD","adn_n","crc_mean","crc_SD","crc_n","Pvalue"
"thetayc",0.813416609756098,0.124366618374843,41,0.819377384615385,0.125333091918799,26,0.69673903729249
"fit",53.525,417.450994360186,41,-612,936.162250894576,26,2.15021553459489e-05
