"Variable","total_appearance"
"Otu000035",100
"Otu000012",100
"Otu000005",99
"Otu000030",99
"fit_result",97
"Otu000058",96
"Otu000004",95
"Otu000050",86
"Otu000084",85
"Otu000149",80
"Otu000008",77
"Otu000101",76
"Otu000018",75
"Otu000002",72
"Otu000087",72
"Otu000033",71
"Otu000042",71
"Otu000057",67
"Otu000082",64
"Otu000314",62
"Otu000386",62
"Otu000027",61
"Otu000114",60
"Otu000025",56
"Otu000124",56
"Otu000024",55
"Otu000020",55
"Otu000374",53
"Otu000069",52
"Otu000076",52
