"","Probs_present"
"fit_result",1
"Otu000003",0.88
"Otu000005",0.965
"Otu000007",0.54
"Otu000008",0.955
"Otu000011",0.83
"Otu000014",0.67
"Otu000021",0.56
"Otu000026",0.67
"Otu000030",0.93
"Otu000033",0.54
"Otu000034",0.73
"Otu000054",0.895
"Otu000059",0.655
"Otu000076",0.51
"Otu000086",0.535
"Otu000087",0.915
"Otu000101",0.7
"Otu000109",0.56
"Otu000126",1
"Otu000145",0.53
"Otu000147",0.795
"Otu000162",0.87
"Otu000205",1
"Otu000334",0.925
"Otu000347",0.945
"Otu000358",0.545
"Otu000397",1
"Otu000458",0.645
"Otu000528",0.53
"Otu000563",1
"Otu000566",1
"Otu000671",0.765
"Otu000801",0.84
"Otu000902",0.92
"Otu001283",0.725
