"","Probs_present"
"fit_result",1
"Otu000008",0.715
"Otu000013",0.79
"Otu000014",0.55
"Otu000016",0.725
"Otu000020",0.605
"Otu000048",0.53
"Otu000087",0.605
"Otu000126",1
"Otu000147",0.7
"Otu000164",0.755
"Otu000205",0.665
"Otu000308",0.765
"Otu000319",0.72
"Otu000347",0.875
"Otu000397",0.575
"Otu000566",0.94
