"","Probs_present"
"fit_result",1
"Otu000013",0.73
"Otu000016",0.58
"Otu000059",0.695
"Otu000102",0.58
"Otu000126",1
"Otu000147",0.535
"Otu000151",0.525
"Otu000164",0.95
"Otu000205",0.985
"Otu000308",0.6
"Otu000319",0.57
"Otu000397",1
"Otu000563",0.94
"Otu000566",1
"Otu000671",0.98
"Otu000902",0.78
