"","lesion_model1AUCRF_wCV$Psel[lesion_model1AUCRF_wCV$Psel > 0.5]"
"fit_result",1
"Otu000008",0.72
"Otu000013",0.52
"Otu000016",0.68
"Otu000048",0.6
"Otu000087",0.56
"Otu000126",1
"Otu000146",0.52
"Otu000147",0.72
"Otu000164",0.64
"Otu000166",0.52
"Otu000205",0.56
"Otu000308",0.72
"Otu000319",0.76
"Otu000347",0.8
"Otu000566",0.96
