"","Probs_present"
"fit_result",1
"Otu000003",0.54
"Otu000005",0.55
"Otu000020",0.52
"Otu000026",0.585
"Otu000034",0.88
"Otu000037",0.705
"Otu000059",0.82
"Otu000062",0.935
"Otu000064",0.865
"Otu000079",0.81
"Otu000080",0.595
"Otu000084",0.695
"Otu000102",0.845
"Otu000103",0.755
"Otu000126",1
"Otu000145",0.605
"Otu000146",0.735
"Otu000147",0.935
"Otu000152",0.525
"Otu000153",0.555
"Otu000205",1
"Otu000217",0.705
"Otu000300",0.88
"Otu000333",0.985
"Otu000334",0.805
"Otu000381",0.71
"Otu000397",1
"Otu000563",1
"Otu000566",1
"Otu000671",1
"Otu000902",0.99
