"Variable","total_appearance"
"Otu000001",100
"Otu000438",100
"Otu000040",100
"Otu000010",100
"Otu000004",100
"Otu000028",99
"Otu000278",99
"Otu000061",99
"Otu000037",98
"Otu000117",98
"Otu000026",98
"Otu000063",97
"Otu000177",97
"Otu000101",97
"Otu000018",97
"Otu000148",97
"Otu000145",96
"Otu000047",95
"Otu000007",94
"Otu000065",93
"Otu000108",89
"Otu000020",89
"Otu000006",87
"Otu000014",87
"Otu000043",86
"Otu000169",83
"Otu000005",83
"Otu000002",82
"Otu000059",81
"Otu000015",80
"Otu000120",76
"Otu000640",74
"Otu000154",74
"Otu000135",74
"Otu000042",74
"Otu000241",71
"Otu000023",71
"Otu000049",70
"Otu000605",70
"Otu000009",69
"Otu000016",68
"Otu000119",66
"Otu000109",65
"Otu000147",65
"Otu000178",64
"Otu000127",64
"Otu000194",63
"Otu000019",62
"Otu000180",62
"Otu000013",62
"Otu000030",62
"Otu000039",57
"Otu000150",57
"Otu000308",56
"Otu000025",56
"Otu000008",56
"Otu000017",55
"Otu000031",55
"Otu000165",55
"Otu000240",54
"Otu000041",53
"Otu000068",53
"Otu000476",52
"Otu000085",52
"Otu000084",51
"Otu000167",51
"Otu000003",51
"Otu000034",51
"Otu000050",51
"Otu000058",51
